seed,branch_metrics.both_active.aggregate_auc,branch_metrics.both_active.coactivity_auc,branch_metrics.both_active.combined_auc,branch_metrics.evidence_only.aggregate_auc,branch_metrics.evidence_only.coactivity_auc,branch_metrics.topology_only.aggregate_auc,branch_metrics.topology_only.coactivity_auc,dimensions.account_degree_r,dimensions.item_degree_m,dimensions.n_accounts_per_branch,dimensions.n_items,dimensions.team_repetitions,dimensions.team_size,incidence_diagnostics.random1.max_pair_cooccurrence,incidence_diagnostics.random1.mean_pair_cooccurrence,incidence_diagnostics.random1.repeated_account_pairs,incidence_diagnostics.random1.unique_account_pairs,incidence_diagnostics.random2.max_pair_cooccurrence,incidence_diagnostics.random2.mean_pair_cooccurrence,incidence_diagnostics.random2.repeated_account_pairs,incidence_diagnostics.random2.unique_account_pairs,incidence_diagnostics.team.max_pair_cooccurrence,incidence_diagnostics.team.mean_pair_cooccurrence,incidence_diagnostics.team.repeated_account_pairs,incidence_diagnostics.team.unique_account_pairs,interpretation_guard,invariants.all_account_degrees_equal_r,invariants.all_item_degrees_equal_m,invariants.evidence_only_branch_uses_identical_incidence_for_pos_neg,invariants.frequency_auc_exactly_half,invariants.stage4_attack_world_reused_without_modification,invariants.topology_only_branch_has_zero_aggregate_treatment_effect,primary_mixed_benchmark.aggregate_auc,primary_mixed_benchmark.coactivity_auc,primary_mixed_benchmark.combined_auc,primary_mixed_benchmark.combined_minus_best_single,primary_mixed_benchmark.frequency_auc,primary_mixed_benchmark.normalization.aggregate.mean,primary_mixed_benchmark.normalization.aggregate.std,primary_mixed_benchmark.normalization.coactivity.mean,primary_mixed_benchmark.normalization.coactivity.std,primary_mixed_benchmark.normalization.combined_rule,primary_mixed_benchmark.normalization.weights_trained,stage,stage4_attack_world_sha256,swap_diagnostics.random1.attempts,swap_diagnostics.random1.edges,swap_diagnostics.random1.successful_swaps,swap_diagnostics.random2.attempts,swap_diagnostics.random2.edges,swap_diagnostics.random2.successful_swaps,_source_member
10,0.756,1.0,0.971696,0.7506666666666667,0.5,0.5,1.0,8,6,1500,2000,8,6,3,1.010339137170377,306,29693,3,1.0108157282927321,319,29679,8,8.0,3750,3750,"The primary mixed benchmark is a complementarity stress test, not an isolation experiment. Half of positive mechanisms carry aggregate evidence without repeated-team structure; half carry repeated-team structure without rating intervention. The combined score is untrained.",True,True,True,True,True,True,0.6253333333333333,0.7488464444444445,0.8748272222222222,0.12598077777777772,0.5,0.15298465746472695,0.5509502044310134,9.061666666666667,14.985521809029171,z(aggregate)+z(coactivity),False,amazon_stage7_complementarity,0c38945661ccd4eb0be69f9fc79f2cafb76d8e94a0daaa9265416f4bb9850934,241642,12000,240000,241662,12000,240000,stage7/seed_010/summary.json
11,0.808,1.0,0.979976,0.802,0.5,0.5,1.0,8,6,1500,2000,8,6,3,1.0102370689655173,300,29696,3,1.00965907178676,286,29713,8,8.0,3750,3750,"The primary mixed benchmark is a complementarity stress test, not an isolation experiment. Half of positive mechanisms carry aggregate evidence without repeated-team structure; half carry repeated-team structure without rating intervention. The combined score is untrained.",True,True,True,True,True,True,0.651,0.752229,0.9000352222222222,0.14780622222222217,0.5,0.18978553757738137,0.5627921124227888,9.048333333333334,14.992787062080518,z(aggregate)+z(coactivity),False,amazon_stage7_complementarity,c21565ab259766109fbad2ce0c51e5c9061a832b8f039bd88de567c7dccbdfd8,241714,12000,240000,241611,12000,240000,stage7/seed_011/summary.json
12,0.736,1.0,0.9706346666666666,0.7266666666666667,0.5,0.5,1.0,8,6,1500,2000,8,6,3,1.010611419909045,312,29685,3,1.00965907178676,286,29713,8,8.0,3750,3750,"The primary mixed benchmark is a complementarity stress test, not an isolation experiment. Half of positive mechanisms carry aggregate evidence without repeated-team structure; half carry repeated-team structure without rating intervention. The combined score is untrained.",True,True,True,True,True,True,0.6133333333333333,0.7534606666666667,0.8629054444444444,0.10944477777777772,0.5,0.14175343594456283,0.5298229051634624,9.055666666666667,14.988725803824094,z(aggregate)+z(coactivity),False,amazon_stage7_complementarity,2000cdf3e6201d6269f26826102349cb4709bdcc762a2a2a521ed0f03d1301f9,241612,12000,240000,241725,12000,240000,stage7/seed_012/summary.json
13,0.724,1.0,0.9506453333333333,0.7273333333333334,0.5,0.5,1.0,8,6,1500,2000,8,6,3,1.0101010101010102,298,29700,3,1.0103051121438675,305,29694,8,8.0,3750,3750,"The primary mixed benchmark is a complementarity stress test, not an isolation experiment. Half of positive mechanisms carry aggregate evidence without repeated-team structure; half carry repeated-team structure without rating intervention. The combined score is untrained.",True,True,True,True,True,True,0.6136666666666667,0.7493707222222222,0.8647907777777778,0.11542005555555557,0.5,0.13757552159057315,0.5284183820599665,9.052,14.990818167576224,z(aggregate)+z(coactivity),False,amazon_stage7_complementarity,9d39ffd155ab7fd116dba14b81bb290a47241c4ade8fcd1db0d440ce3c2e228c,241710,12000,240000,241689,12000,240000,stage7/seed_013/summary.json
14,0.728,1.0,0.9557413333333333,0.7406666666666667,0.5,0.5,1.0,8,6,1500,2000,8,6,3,1.0100329944111508,296,29702,3,1.0102030508132134,302,29697,8,8.0,3750,3750,"The primary mixed benchmark is a complementarity stress test, not an isolation experiment. Half of positive mechanisms carry aggregate evidence without repeated-team structure; half carry repeated-team structure without rating intervention. The combined score is untrained.",True,True,True,True,True,True,0.6203333333333333,0.7500180555555556,0.868587,0.11856894444444444,0.5,0.1386914351703685,0.5204333254306548,9.049666666666667,14.992260221712918,z(aggregate)+z(coactivity),False,amazon_stage7_complementarity,c67a3f67383634c1d19186c12a6834aeb361ea0ebee9c21ef575a96a6cb0eae5,241707,12000,240000,241643,12000,240000,stage7/seed_014/summary.json
15,0.736,1.0,0.9743146666666667,0.756,0.5,0.5,1.0,8,6,1500,2000,8,6,3,1.008979921299566,265,29733,2,1.0095231685567183,283,29717,8,8.0,3750,3750,"The primary mixed benchmark is a complementarity stress test, not an isolation experiment. Half of positive mechanisms carry aggregate evidence without repeated-team structure; half carry repeated-team structure without rating intervention. The combined score is untrained.",True,True,True,True,True,True,0.628,0.7469854444444445,0.8764787777777778,0.12949333333333335,0.5,0.15916613837047336,0.5621778555233518,9.022333333333334,15.007115019957107,z(aggregate)+z(coactivity),False,amazon_stage7_complementarity,28993c11fcb5bead56ad7e49a420a4142473930e0b813f93c0669f8d75341534,241678,12000,240000,241680,12000,240000,stage7/seed_015/summary.json
16,0.736,1.0,0.9776426666666667,0.764,0.5,0.5,1.0,8,6,1500,2000,8,6,3,1.0093533409595585,277,29722,3,1.0110882680057969,328,29671,8,8.0,3750,3750,"The primary mixed benchmark is a complementarity stress test, not an isolation experiment. Half of positive mechanisms carry aggregate evidence without repeated-team structure; half carry repeated-team structure without rating intervention. The combined score is untrained.",True,True,True,True,True,True,0.632,0.7432092777777778,0.8816486666666666,0.13843938888888885,0.5,0.15562809502473463,0.542024479225437,9.045,14.994942758588085,z(aggregate)+z(coactivity),False,amazon_stage7_complementarity,b543c2889d8a364a0d75b517e05287881fb16db5f42ef92300eda421cd408090,241637,12000,240000,241638,12000,240000,stage7/seed_016/summary.json
17,0.752,1.0,0.975376,0.7566666666666667,0.5,0.5,1.0,8,6,1500,2000,8,6,3,1.0105773765411306,312,29686,2,1.00993098804915,295,29705,8,8.0,3750,3750,"The primary mixed benchmark is a complementarity stress test, not an isolation experiment. Half of positive mechanisms carry aggregate evidence without repeated-team structure; half carry repeated-team structure without rating intervention. The combined score is untrained.",True,True,True,True,True,True,0.6283333333333333,0.7520745555555556,0.8783495555555556,0.12627500000000003,0.5,0.15839027768887756,0.5372038910944164,9.057666666666666,14.987695216039352,z(aggregate)+z(coactivity),False,amazon_stage7_complementarity,d8ad716247b9b260d6e7a9b557c859f2598db45a4989149d4be2088bb5f3ba46,241570,12000,240000,241766,12000,240000,stage7/seed_017/summary.json
18,0.704,1.0,0.9384826666666667,0.72,0.5,0.5,1.0,8,6,1500,2000,8,6,3,1.010611419909045,313,29685,3,1.0112245929821013,331,29667,8,8.0,3750,3750,"The primary mixed benchmark is a complementarity stress test, not an isolation experiment. Half of positive mechanisms carry aggregate evidence without repeated-team structure; half carry repeated-team structure without rating intervention. The combined score is untrained.",True,True,True,True,True,True,0.61,0.7468841666666667,0.8604763333333333,0.1135921666666666,0.5,0.13228055438715206,0.5186867400978258,9.071,14.980686199236672,z(aggregate)+z(coactivity),False,amazon_stage7_complementarity,c6c34d9c1845c8193060d5a7fffcfb3fe6c1b04aaca4eb7b1bdb73b41f7e431e,241696,12000,240000,241609,12000,240000,stage7/seed_018/summary.json
19,0.708,1.0,0.974552,0.7093333333333334,0.5,0.5,1.0,8,6,1500,2000,8,6,3,1.0102710894089915,304,29695,3,1.0110541925047183,326,29672,8,8.0,3750,3750,"The primary mixed benchmark is a complementarity stress test, not an isolation experiment. Half of positive mechanisms carry aggregate evidence without repeated-team structure; half carry repeated-team structure without rating intervention. The combined score is untrained.",True,True,True,True,True,True,0.6046666666666667,0.7475216666666666,0.8555523333333334,0.10803066666666672,0.5,0.1360958569935047,0.5471744102865158,9.062666666666667,14.985339709937248,z(aggregate)+z(coactivity),False,amazon_stage7_complementarity,64706dcc2ab35cd0aaa6c2379b626853e7f0009638dad769dfd6a16181faa757,241664,12000,240000,241776,12000,240000,stage7/seed_019/summary.json
20,0.712,1.0,0.950408,0.7386666666666667,0.5,0.5,1.0,8,6,1500,2000,8,6,3,1.0101010101010102,298,29700,3,1.0101010101010102,298,29700,8,8.0,3750,3750,"The primary mixed benchmark is a complementarity stress test, not an isolation experiment. Half of positive mechanisms carry aggregate evidence without repeated-team structure; half carry repeated-team structure without rating intervention. The combined score is untrained.",True,True,True,True,True,True,0.6193333333333333,0.7490954444444444,0.8686728888888889,0.11957744444444451,0.5,0.14693066396308255,0.5306987151941666,9.05,14.991714378282428,z(aggregate)+z(coactivity),False,amazon_stage7_complementarity,f5806d5fc0779cadbd48eaa7e615cd0cf4a223c7a60b9e9604e1e4989acd581b,241678,12000,240000,241659,12000,240000,stage7/seed_020/summary.json
21,0.712,1.0,0.9664,0.726,0.5,0.5,1.0,8,6,1500,2000,8,6,3,1.0101350213811913,300,29699,3,1.0101010101010102,296,29700,8,8.0,3750,3750,"The primary mixed benchmark is a complementarity stress test, not an isolation experiment. Half of positive mechanisms carry aggregate evidence without repeated-team structure; half carry repeated-team structure without rating intervention. The combined score is untrained.",True,True,True,True,True,True,0.613,0.7500802222222223,0.8628006666666667,0.1127204444444444,0.5,0.14663091900525174,0.5476026193265044,9.050666666666666,14.991578732371348,z(aggregate)+z(coactivity),False,amazon_stage7_complementarity,424d6aab5d27a2beccb22ed550ba1284f084ce57b8a57e96bae41de0adc83da8,241698,12000,240000,241653,12000,240000,stage7/seed_021/summary.json
22,0.724,1.0,0.9730213333333333,0.7453333333333333,0.5,0.5,1.0,8,6,1500,2000,8,6,3,1.0094891984655765,279,29718,3,1.0101350213811913,300,29699,8,8.0,3750,3750,"The primary mixed benchmark is a complementarity stress test, not an isolation experiment. Half of positive mechanisms carry aggregate evidence without repeated-team structure; half carry repeated-team structure without rating intervention. The combined score is untrained.",True,True,True,True,True,True,0.6226666666666667,0.7466294444444445,0.8721375555555556,0.12550811111111115,0.5,0.14236710687539436,0.5297726246943716,9.038333333333334,14.998395377135813,z(aggregate)+z(coactivity),False,amazon_stage7_complementarity,972d804efac22e959ce67067b77e2d80ea58f4dcec72a4a8178a99dba64344b0,241527,12000,240000,241622,12000,240000,stage7/seed_022/summary.json
23,0.768,1.0,0.9679946666666667,0.762,0.5,0.5,1.0,8,6,1500,2000,8,6,2,1.0102030508132134,303,29697,2,1.0100670011110737,299,29701,8,8.0,3750,3750,"The primary mixed benchmark is a complementarity stress test, not an isolation experiment. Half of positive mechanisms carry aggregate evidence without repeated-team structure; half carry repeated-team structure without rating intervention. The combined score is untrained.",True,True,True,True,True,True,0.631,0.7509147222222222,0.8799681111111111,0.12905338888888884,0.5,0.15775919218612366,0.549996111576334,9.051666666666666,14.990830438045192,z(aggregate)+z(coactivity),False,amazon_stage7_complementarity,1e9974b35070a6b4452ddd03ac0cfd81d64a10258a0b3770545e39bd77586b00,241691,12000,240000,241758,12000,240000,stage7/seed_023/summary.json
24,0.756,1.0,0.9785146666666666,0.7546666666666667,0.5,0.5,1.0,8,6,1500,2000,8,6,2,1.0100670011110737,299,29701,3,1.0092514718250631,274,29725,8,8.0,3750,3750,"The primary mixed benchmark is a complementarity stress test, not an isolation experiment. Half of positive mechanisms carry aggregate evidence without repeated-team structure; half carry repeated-team structure without rating intervention. The combined score is untrained.",True,True,True,True,True,True,0.6273333333333333,0.7525042777777777,0.877631,0.12512672222222232,0.5,0.1529329360253351,0.5422891966866104,9.041,14.997065901924506,z(aggregate)+z(coactivity),False,amazon_stage7_complementarity,100858967310b2ce6b5c95d4fc52144d9a344e5026d0719dfc8c6bbfa1ba14d5,241708,12000,240000,241679,12000,240000,stage7/seed_024/summary.json
25,0.744,1.0,0.974416,0.7586666666666667,0.5,0.5,1.0,8,6,1500,2000,8,6,3,1.0094552306605202,280,29719,3,1.0101350213811913,300,29699,8,8.0,3750,3750,"The primary mixed benchmark is a complementarity stress test, not an isolation experiment. Half of positive mechanisms carry aggregate evidence without repeated-team structure; half carry repeated-team structure without rating intervention. The combined score is untrained.",True,True,True,True,True,True,0.6293333333333333,0.7468342222222222,0.8792314444444445,0.13239722222222228,0.5,0.1610960170901876,0.5450450365229581,9.037666666666667,14.99864153478204,z(aggregate)+z(coactivity),False,amazon_stage7_complementarity,ce7a602e8c19a5ae0d8b5d17ca51c8dba79170e2773c1bac4df4034ce2a26b3e,241580,12000,240000,241580,12000,240000,stage7/seed_025/summary.json
26,0.728,1.0,0.9637386666666666,0.7546666666666667,0.5,0.5,1.0,8,6,1500,2000,8,6,3,1.010407194099222,308,29691,2,1.0106454655706778,316,29684,8,8.0,3750,3750,"The primary mixed benchmark is a complementarity stress test, not an isolation experiment. Half of positive mechanisms carry aggregate evidence without repeated-team structure; half carry repeated-team structure without rating intervention. The combined score is untrained.",True,True,True,True,True,True,0.6273333333333333,0.749842,0.8769931111111111,0.1271511111111111,0.5,0.15689589951323296,0.5509911003648261,9.061333333333334,14.985311860470423,z(aggregate)+z(coactivity),False,amazon_stage7_complementarity,7921df77cbe4986b1fdcdf6efca76d80625d545a715b14f30da72ee3ff289ac0,241640,12000,240000,241615,12000,240000,stage7/seed_026/summary.json
27,0.756,1.0,0.9877573333333334,0.7593333333333333,0.5,0.5,1.0,8,6,1500,2000,8,6,3,1.0105433354667026,312,29687,2,1.0102710894089915,305,29695,8,8.0,3750,3750,"The primary mixed benchmark is a complementarity stress test, not an isolation experiment. Half of positive mechanisms carry aggregate evidence without repeated-team structure; half carry repeated-team structure without rating intervention. The combined score is untrained.",True,True,True,True,True,True,0.6296666666666667,0.7511248333333334,0.8791491111111112,0.1280242777777778,0.5,0.16679790578908388,0.5537620864828623,9.060333333333332,14.986339108964833,z(aggregate)+z(coactivity),False,amazon_stage7_complementarity,84e657735aaaaabb0fadeeecc966cfe2ba1c2f52d143a6ef1955eed08442f01d,241643,12000,240000,241640,12000,240000,stage7/seed_027/summary.json
28,0.744,1.0,0.9479573333333333,0.7486666666666667,0.5,0.5,1.0,8,6,1500,2000,8,6,2,1.0112586799703365,334,29666,2,1.010611419909045,315,29685,8,8.0,3750,3750,"The primary mixed benchmark is a complementarity stress test, not an isolation experiment. Half of positive mechanisms carry aggregate evidence without repeated-team structure; half carry repeated-team structure without rating intervention. The combined score is untrained.",True,True,True,True,True,True,0.6243333333333333,0.7522353333333334,0.8734504444444444,0.12121511111111105,0.5,0.1472771067839541,0.5292278611265857,9.077666666666667,14.976447105000867,z(aggregate)+z(coactivity),False,amazon_stage7_complementarity,97182e7df9d8c6d8b76fef044fa4b044a7bcd2954d0b63fad18e7320a1259a7d,241674,12000,240000,241549,12000,240000,stage7/seed_028/summary.json
29,0.756,1.0,0.984,0.76,0.5,0.5,1.0,8,6,1500,2000,8,6,2,1.0110882680057969,329,29671,3,1.0088442008272522,262,29737,8,8.0,3750,3750,"The primary mixed benchmark is a complementarity stress test, not an isolation experiment. Half of positive mechanisms carry aggregate evidence without repeated-team structure; half carry repeated-team structure without rating intervention. The combined score is untrained.",True,True,True,True,True,True,0.63,0.7595073333333333,0.8805352222222222,0.12102788888888893,0.5,0.16191980489693159,0.5473960586780734,9.057,14.988053609458433,z(aggregate)+z(coactivity),False,amazon_stage7_complementarity,aab38f3aca4c83b12c3f74ea3590a5bae0f4a25d950bd08a5b81f2e475607bff,241740,12000,240000,241666,12000,240000,stage7/seed_029/summary.json
