seed,aggregate.max_abs_d_abs_mean,aggregate.mean_d_abs_mean,aggregate.mean_d_js,aggregate.mean_d_w1,aggregate.positive_d_js_fraction,aggregate.positive_d_w1_fraction,attack_world_sha256,feasible_item_universe,interpretation_guard,invariants.all_six_selected_ratings_change,invariants.exact_block_mean_preservation,invariants.frequency_exactly_matched_at_r8,invariants.item_block_slot_exposure_pairwise_matched,invariants.mean_based_paired_effect_exactly_zero,invariants.three_disjoint_sum_preserving_pairs,m,matched_twins.frequency_auc,matched_twins.js_counterfactual_score_auc,matched_twins.js_mean_paired_gap,matched_twins.js_paired_misordering_probability,matched_twins.js_positive_pair_fraction,matched_twins.js_raw_world_score_auc,matched_twins.mean_counterfactual_score_auc,matched_twins.mean_mean_paired_gap,matched_twins.mean_paired_misordering_probability,matched_twins.mean_positive_pair_fraction,matched_twins.mean_raw_world_score_auc,matched_twins.w1_counterfactual_score_auc,matched_twins.w1_mean_paired_gap,matched_twins.w1_paired_misordering_probability,matched_twins.w1_positive_pair_fraction,matched_twins.w1_raw_world_score_auc,n_account_pairs,n_items,reuse_r,selected_lambda,stage,_source_member
11,0.0,0.0,0.017586354177891287,0.03409968662655486,0.728,0.5655,e424356e5d2b9ec5d8862abb2a74b67fbff26254533ab76a9b9b1a17b3215e5f,14690,Stage 6 is a controlled counterfactual shape-distortion experiment on real Amazon blocks. It tests distribution-sensitive evidence under exact mean preservation; it is not historical fraud labeling.,True,True,True,True,True,True,6,0.5,0.968,0.14069083342313032,0.032,0.968,0.914016,0.5,0.0,1.0,0.0,0.5,0.94,0.27279749301243894,0.06,0.94,0.610704,1500,2000,8,20.0,amazon_stage6_mean_preserving_shape_r8,stage6/seed_011/summary.json
12,0.0,0.0,0.017760237941959862,0.03339485774179094,0.7225,0.5635,446d9a9d4654455e3efd455ee8c3bf2b4b5550ad8d2d62f64467d3487fd6c300,14690,Stage 6 is a controlled counterfactual shape-distortion experiment on real Amazon blocks. It tests distribution-sensitive evidence under exact mean preservation; it is not historical fraud labeling.,True,True,True,True,True,True,6,0.5,0.984,0.1420819035356789,0.016,0.984,0.92128,0.5,0.0,1.0,0.0,0.5,0.936,0.26715886193432753,0.064,0.936,0.611888,1500,2000,8,20.0,amazon_stage6_mean_preserving_shape_r8,stage6/seed_012/summary.json
13,0.0,0.0,0.01662562855336797,0.0327192256989847,0.7075,0.549,6561588466b49828dde54fcfb3c709321bc1966670a11c172c8768e7160bcb01,14690,Stage 6 is a controlled counterfactual shape-distortion experiment on real Amazon blocks. It tests distribution-sensitive evidence under exact mean preservation; it is not historical fraud labeling.,True,True,True,True,True,True,6,0.5,0.972,0.13300502842694376,0.028,0.972,0.920544,0.5,0.0,1.0,0.0,0.5,0.9,0.26175380559187766,0.1,0.9,0.609024,1500,2000,8,20.0,amazon_stage6_mean_preserving_shape_r8,stage6/seed_013/summary.json
14,0.0,0.0,0.016168005686105845,0.030432976220956285,0.7025,0.5455,a96801bbcd028302a76ebbb920039b9fcfb4faeb6b34a512289ff0186e43f5b0,14690,Stage 6 is a controlled counterfactual shape-distortion experiment on real Amazon blocks. It tests distribution-sensitive evidence under exact mean preservation; it is not historical fraud labeling.,True,True,True,True,True,True,6,0.5,0.944,0.12934404548884676,0.056,0.944,0.89624,0.5,0.0,1.0,0.0,0.5,0.896,0.2434638097676503,0.104,0.896,0.599856,1500,2000,8,20.0,amazon_stage6_mean_preserving_shape_r8,stage6/seed_014/summary.json
15,0.0,0.0,0.01762789071680329,0.034277776241073143,0.7245,0.558,3fb4e2e842caf4557ebda97ef31379afc08a3beaf0f2a11c83a340c478b74d4b,14690,Stage 6 is a controlled counterfactual shape-distortion experiment on real Amazon blocks. It tests distribution-sensitive evidence under exact mean preservation; it is not historical fraud labeling.,True,True,True,True,True,True,6,0.5,0.964,0.1410231257344263,0.036,0.964,0.921888,0.5,0.0,1.0,0.0,0.5,0.904,0.27422220992858515,0.096,0.904,0.616152,1500,2000,8,20.0,amazon_stage6_mean_preserving_shape_r8,stage6/seed_015/summary.json
16,0.0,0.0,0.016985965236191586,0.030391350092811877,0.7165,0.56,1b7af2b6dc9e8f9213962d1f04eb1abeb7bb7c8039b048515a0b404a7cb8ec4b,14690,Stage 6 is a controlled counterfactual shape-distortion experiment on real Amazon blocks. It tests distribution-sensitive evidence under exact mean preservation; it is not historical fraud labeling.,True,True,True,True,True,True,6,0.5,0.96,0.1358877218895327,0.04,0.96,0.903856,0.5,0.0,1.0,0.0,0.5,0.912,0.24313080074249505,0.088,0.912,0.5988,1500,2000,8,20.0,amazon_stage6_mean_preserving_shape_r8,stage6/seed_016/summary.json
17,0.0,0.0,0.017226579301982254,0.03377708095207615,0.71,0.56,cdcb4b044c0a3b78410da94767100cdff40408cc6a5c152be26df1b48dce7c6a,14690,Stage 6 is a controlled counterfactual shape-distortion experiment on real Amazon blocks. It tests distribution-sensitive evidence under exact mean preservation; it is not historical fraud labeling.,True,True,True,True,True,True,6,0.5,0.976,0.13781263441585803,0.024,0.976,0.923616,0.5,0.0,1.0,0.0,0.5,0.892,0.27021664761660924,0.108,0.892,0.612096,1500,2000,8,20.0,amazon_stage6_mean_preserving_shape_r8,stage6/seed_017/summary.json
18,0.0,0.0,0.01745678272620078,0.032649052793043226,0.718,0.559,c2d40b2b18293b021371baa36744f99b2bcfa5db136658ee88360f0e2aa66918,14690,Stage 6 is a controlled counterfactual shape-distortion experiment on real Amazon blocks. It tests distribution-sensitive evidence under exact mean preservation; it is not historical fraud labeling.,True,True,True,True,True,True,6,0.5,0.948,0.13965426180960627,0.052,0.948,0.916032,0.5,0.0,1.0,0.0,0.5,0.924,0.2611924223443458,0.076,0.924,0.603184,1500,2000,8,20.0,amazon_stage6_mean_preserving_shape_r8,stage6/seed_018/summary.json
19,0.0,0.0,0.01733287645916773,0.032217624541655616,0.733,0.564,36ea32f898c571f7d7a7c79140944d8c305a85be334ca1b310e79af23a68b348,14690,Stage 6 is a controlled counterfactual shape-distortion experiment on real Amazon blocks. It tests distribution-sensitive evidence under exact mean preservation; it is not historical fraud labeling.,True,True,True,True,True,True,6,0.5,0.972,0.13866301167334183,0.028,0.972,0.918432,0.5,0.0,1.0,0.0,0.5,0.876,0.25774099633324493,0.124,0.876,0.613888,1500,2000,8,20.0,amazon_stage6_mean_preserving_shape_r8,stage6/seed_019/summary.json
20,0.0,0.0,0.017601433048383935,0.03098954742397503,0.7255,0.5535,4b41c7e6ce25d916396edd6c87a11fcdecc51a352f1380577f521b4882b3ba13,14690,Stage 6 is a controlled counterfactual shape-distortion experiment on real Amazon blocks. It tests distribution-sensitive evidence under exact mean preservation; it is not historical fraud labeling.,True,True,True,True,True,True,6,0.5,0.968,0.14081146438707148,0.032,0.968,0.909664,0.5,0.0,1.0,0.0,0.5,0.896,0.24791637939180025,0.104,0.896,0.593456,1500,2000,8,20.0,amazon_stage6_mean_preserving_shape_r8,stage6/seed_020/summary.json
21,0.0,0.0,0.01624277036687794,0.03125130325253061,0.717,0.559,2f5f258c3686ba86c206c03631c4d7da95ca0cb24f39ff69c410cf75f899f5bf,14690,Stage 6 is a controlled counterfactual shape-distortion experiment on real Amazon blocks. It tests distribution-sensitive evidence under exact mean preservation; it is not historical fraud labeling.,True,True,True,True,True,True,6,0.5,0.968,0.1299421629350235,0.032,0.968,0.889344,0.5,0.0,1.0,0.0,0.5,0.92,0.25001042602024487,0.08,0.92,0.595472,1500,2000,8,20.0,amazon_stage6_mean_preserving_shape_r8,stage6/seed_021/summary.json
22,0.0,0.0,0.01782360061355653,0.032203015433594544,0.726,0.556,36a4e440c5a0d0aafbd5508cdba8cfbfbba804f19e6524e618b31e90789c6dff,14690,Stage 6 is a controlled counterfactual shape-distortion experiment on real Amazon blocks. It tests distribution-sensitive evidence under exact mean preservation; it is not historical fraud labeling.,True,True,True,True,True,True,6,0.5,0.96,0.14258880490845224,0.04,0.96,0.92032,0.5,0.0,1.0,0.0,0.5,0.92,0.25762412346875635,0.08,0.92,0.604256,1500,2000,8,20.0,amazon_stage6_mean_preserving_shape_r8,stage6/seed_022/summary.json
23,0.0,0.0,0.018394285349657816,0.032537335521803934,0.7295,0.561,c21893ba0e259fdcf8e44cfd67b529e4a96b17c379abd51f05bd94b990803eba,14690,Stage 6 is a controlled counterfactual shape-distortion experiment on real Amazon blocks. It tests distribution-sensitive evidence under exact mean preservation; it is not historical fraud labeling.,True,True,True,True,True,True,6,0.5,0.98,0.14715428279726253,0.02,0.98,0.942896,0.5,0.0,1.0,0.0,0.5,0.92,0.2602986841744314,0.08,0.92,0.622048,1500,2000,8,20.0,amazon_stage6_mean_preserving_shape_r8,stage6/seed_023/summary.json
24,0.0,0.0,0.017335835607932594,0.03271418208197316,0.738,0.5495,d40cc93032dc0435db5b4b3a2e28153d06889dca9ea397211805b3faaaae61ce,14690,Stage 6 is a controlled counterfactual shape-distortion experiment on real Amazon blocks. It tests distribution-sensitive evidence under exact mean preservation; it is not historical fraud labeling.,True,True,True,True,True,True,6,0.5,0.976,0.13868668486346078,0.024,0.976,0.91312,0.5,0.0,1.0,0.0,0.5,0.92,0.26171345665578527,0.08,0.92,0.600496,1500,2000,8,20.0,amazon_stage6_mean_preserving_shape_r8,stage6/seed_024/summary.json
25,0.0,0.0,0.017434687345843677,0.03244760472197584,0.7315,0.559,2c8ad8be57b68010f26a2f7607c8f987ab1ecea178e31a1bc824d660056f5343,14690,Stage 6 is a controlled counterfactual shape-distortion experiment on real Amazon blocks. It tests distribution-sensitive evidence under exact mean preservation; it is not historical fraud labeling.,True,True,True,True,True,True,6,0.5,0.972,0.1394774987667494,0.028,0.972,0.923136,0.5,0.0,1.0,0.0,0.5,0.92,0.2595808377758067,0.08,0.92,0.614896,1500,2000,8,20.0,amazon_stage6_mean_preserving_shape_r8,stage6/seed_025/summary.json
26,0.0,0.0,0.01784801386051412,0.03291572620343022,0.7245,0.5565,73d710a9d31bd56c1f0db701b090633031c82a1c6d6fc5cf4329446cd455703f,14690,Stage 6 is a controlled counterfactual shape-distortion experiment on real Amazon blocks. It tests distribution-sensitive evidence under exact mean preservation; it is not historical fraud labeling.,True,True,True,True,True,True,6,0.5,0.964,0.14278411088411297,0.036,0.964,0.929216,0.5,0.0,1.0,0.0,0.5,0.924,0.26332580962744184,0.076,0.924,0.617312,1500,2000,8,20.0,amazon_stage6_mean_preserving_shape_r8,stage6/seed_026/summary.json
27,0.0,0.0,0.018047423855407595,0.0351689141924452,0.743,0.577,82a89df3a3ab362bd3f73107a144807ea4bea65ecf34c29ad37249cb1ea9873a,14690,Stage 6 is a controlled counterfactual shape-distortion experiment on real Amazon blocks. It tests distribution-sensitive evidence under exact mean preservation; it is not historical fraud labeling.,True,True,True,True,True,True,6,0.5,0.968,0.14437939084326074,0.032,0.968,0.920544,0.5,0.0,1.0,0.0,0.5,0.924,0.28135131353956166,0.076,0.924,0.61376,1500,2000,8,20.0,amazon_stage6_mean_preserving_shape_r8,stage6/seed_027/summary.json
28,0.0,0.0,0.01843856670420692,0.032761429043869986,0.735,0.556,689f69f549ccb5191019b1bf6cdf1e12a77aa6be7e6cdd28c8922d5307dc92ee,14690,Stage 6 is a controlled counterfactual shape-distortion experiment on real Amazon blocks. It tests distribution-sensitive evidence under exact mean preservation; it is not historical fraud labeling.,True,True,True,True,True,True,6,0.5,0.98,0.14750853363365535,0.02,0.98,0.912896,0.5,0.0,1.0,0.0,0.5,0.9,0.26209143235095994,0.1,0.9,0.600784,1500,2000,8,20.0,amazon_stage6_mean_preserving_shape_r8,stage6/seed_028/summary.json
29,0.0,0.0,0.016500981041199823,0.028951790857801227,0.7055,0.552,527de6c6529ff917adf8cb8f8b3adb1af7dbd941d3e047c2d3fb654cdda24f8e,14690,Stage 6 is a controlled counterfactual shape-distortion experiment on real Amazon blocks. It tests distribution-sensitive evidence under exact mean preservation; it is not historical fraud labeling.,True,True,True,True,True,True,6,0.5,0.944,0.13200784832959858,0.056,0.944,0.886368,0.5,0.0,1.0,0.0,0.5,0.88,0.2316143268624098,0.12,0.88,0.594112,1500,2000,8,20.0,amazon_stage6_mean_preserving_shape_r8,stage6/seed_029/summary.json
