asin,first_timestamp,last_timestamp,reference_start_position,reference_end_position,reference_n,reference_mean,reference_count_1,reference_count_2,reference_count_3,reference_count_4,reference_count_5,calibration_1_start_position,calibration_1_end_position,calibration_1_n,calibration_1_mean,calibration_1_count_1,calibration_1_count_2,calibration_1_count_3,calibration_1_count_4,calibration_1_count_5,calibration_2_start_position,calibration_2_end_position,calibration_2_n,calibration_2_mean,calibration_2_count_1,calibration_2_count_2,calibration_2_count_3,calibration_2_count_4,calibration_2_count_5,experimental_A_start_position,experimental_A_end_position,experimental_A_n,experimental_A_mean,experimental_A_count_1,experimental_A_count_2,experimental_A_count_3,experimental_A_count_4,experimental_A_count_5,experimental_B_start_position,experimental_B_end_position,experimental_B_n,experimental_B_mean,experimental_B_count_1,experimental_B_count_2,experimental_B_count_3,experimental_B_count_4,experimental_B_count_5,holdout_1_start_position,holdout_1_end_position,holdout_1_n,holdout_1_mean,holdout_1_count_1,holdout_1_count_2,holdout_1_count_3,holdout_1_count_4,holdout_1_count_5,holdout_2_start_position,holdout_2_end_position,holdout_2_n,holdout_2_mean,holdout_2_count_1,holdout_2_count_2,holdout_2_count_3,holdout_2_count_4,holdout_2_count_5
B00004OCIP,957893564000,1390232357000,1,120,120,4.441666666666666,6,7,5,12,90,121,150,30,4.6,2,0,0,4,24,151,180,30,4.8,1,0,0,2,27,181,210,30,4.733333333333333,0,1,1,3,25,211,240,30,4.533333333333333,2,1,0,3,24,241,270,30,4.6,1,0,2,4,23,271,300,30,4.766666666666667,0,0,2,3,25
B00004OCIW,1144774951000,1605485243549,1,120,120,3.175,43,8,6,11,52,121,150,30,3.0,9,4,5,2,10,151,180,30,2.066666666666667,16,5,4,1,4,181,210,30,2.966666666666667,11,4,1,3,11,211,240,30,2.2333333333333334,14,7,1,4,4,241,270,30,2.466666666666667,13,7,1,1,8,271,300,30,2.066666666666667,18,4,2,0,6
B00004OCJJ,986623827000,1546725071876,1,120,120,4.308333333333334,7,8,4,23,78,121,150,30,4.5,1,1,2,4,22,151,180,30,4.633333333333334,1,1,1,2,25,181,210,30,4.4,3,1,0,3,23,211,240,30,4.033333333333333,6,1,0,2,21,241,270,30,4.433333333333334,2,1,1,4,22,271,300,30,4.166666666666667,4,1,1,4,20
B00004OCJK,1124111679000,1502934492464,1,120,120,4.775,0,1,3,18,98,121,150,30,4.7,1,1,0,2,26,151,180,30,4.533333333333333,0,2,1,6,21,181,210,30,4.7,1,0,0,5,24,211,240,30,4.5,2,1,0,4,23,241,270,30,4.866666666666666,0,0,1,2,27,271,300,30,4.833333333333333,0,0,1,3,26
B00004OCJN,969955847000,1478845146000,1,120,120,4.675,1,1,6,20,92,121,150,30,4.6,1,1,0,5,23,151,180,30,4.566666666666666,1,1,1,4,23,181,210,30,4.833333333333333,0,0,1,3,26,211,240,30,4.833333333333333,0,0,2,1,27,241,270,30,4.866666666666666,0,1,0,1,28,271,300,30,4.866666666666666,0,0,0,4,26
B00004OCJO,962063983000,1479160695000,1,120,120,4.225,6,8,11,23,72,121,150,30,4.3,1,3,0,8,18,151,180,30,4.633333333333334,1,1,2,0,26,181,210,30,4.333333333333333,1,0,6,4,19,211,240,30,3.9,5,1,2,6,16,241,270,30,4.5,1,1,2,4,22,271,300,30,3.7,4,2,7,3,14
B00004OCJQ,957451185000,1417810049000,1,120,120,4.566666666666666,2,2,6,26,84,121,150,30,4.366666666666666,0,1,3,10,16,151,180,30,4.166666666666667,1,3,3,6,17,181,210,30,4.366666666666666,1,2,1,7,19,211,240,30,4.433333333333334,0,2,2,7,19,241,270,30,4.466666666666667,2,0,2,4,22,271,300,30,4.633333333333334,0,1,2,4,23
B00004OCKT,991684642000,1427303328000,1,120,120,3.95,10,9,16,27,58,121,150,30,4.1,2,0,5,9,14,151,180,30,4.033333333333333,2,4,3,3,18,181,210,30,4.233333333333333,1,2,0,13,14,211,240,30,3.966666666666667,4,3,2,2,19,241,270,30,4.266666666666667,3,0,2,6,19,271,300,30,4.433333333333334,0,2,3,5,20
B00004OCNU,1140842290000,1464142902000,1,120,120,4.091666666666667,7,9,15,24,65,121,150,30,4.0,1,3,5,7,14,151,180,30,3.9,3,1,8,2,16,181,210,30,4.033333333333333,2,1,6,6,15,211,240,30,4.166666666666667,1,4,1,7,17,241,270,30,3.466666666666667,6,3,3,7,11,271,300,30,4.133333333333334,0,1,7,9,13
B00004R936,967674424000,1168868811000,1,120,120,3.8583333333333334,12,14,11,25,58,121,150,30,3.933333333333333,1,2,6,10,11,151,180,30,3.433333333333333,5,7,2,2,14,181,210,30,4.366666666666666,1,1,5,2,21,211,240,30,4.666666666666667,0,0,2,6,22,241,270,30,4.133333333333334,2,2,4,4,18,271,300,30,4.2,0,2,2,14,12
B00004RDDN,961126499000,1428086468000,1,120,120,4.441666666666666,6,7,4,14,89,121,150,30,4.733333333333333,1,0,0,4,25,151,180,30,4.233333333333333,3,0,5,1,21,181,210,30,3.7333333333333334,6,2,3,2,17,211,240,30,4.1,4,0,4,3,19,241,270,30,4.166666666666667,3,2,1,5,19,271,300,30,4.933333333333334,0,0,0,2,28
B00004RDF0,967592660000,1666222662638,1,120,120,4.358333333333333,9,3,9,14,85,121,150,30,4.8,0,1,1,1,27,151,180,30,4.566666666666666,2,0,2,1,25,181,210,30,4.833333333333333,1,0,0,1,28,211,240,30,4.866666666666666,1,0,0,0,29,241,270,30,4.6,1,0,3,2,24,271,300,30,4.6,2,0,1,2,25
B00004RDF3,967181341000,1550945187936,1,120,120,4.616666666666666,4,2,6,12,96,121,150,30,4.433333333333334,1,1,2,6,20,151,180,30,4.7,1,0,2,1,26,181,210,30,4.866666666666666,0,0,1,2,27,211,240,30,4.7,1,0,1,3,25,241,270,30,4.366666666666666,1,3,1,4,21,271,300,30,4.266666666666667,1,5,0,3,21
B00004RDFG,1070758594000,1453648021000,1,120,120,4.25,11,4,7,20,78,121,150,30,4.6,1,0,2,4,23,151,180,30,4.366666666666666,2,2,1,3,22,181,210,30,4.666666666666667,1,0,1,4,24,211,240,30,4.533333333333333,3,0,0,2,25,241,270,30,4.633333333333334,1,1,2,0,26,271,300,30,4.633333333333334,1,0,2,3,24
B00004RDFR,1006292462000,1662574972999,1,120,120,3.783333333333333,18,8,12,26,56,121,150,30,3.7,6,1,4,4,15,151,180,30,3.3,7,5,3,2,13,181,210,30,3.3666666666666667,10,2,1,1,16,211,240,30,3.966666666666667,1,6,3,3,17,241,270,30,3.6,7,0,7,0,16,271,300,30,3.4,6,6,2,2,14
B00004S1B8,985331609000,1483470527000,1,120,120,4.491666666666666,5,3,4,24,84,121,150,30,4.833333333333333,0,0,1,3,26,151,180,30,4.366666666666666,4,0,0,3,23,181,210,30,4.9,0,0,0,3,27,211,240,30,4.4,2,2,1,2,23,241,270,30,4.7,1,0,2,1,26,271,300,30,4.866666666666666,1,0,0,0,29
B00004S1CV,968967445000,1365473596000,1,120,120,4.416666666666667,4,2,13,22,79,121,150,30,4.5,0,2,3,3,22,151,180,30,4.266666666666667,1,3,1,7,18,181,210,30,4.566666666666666,0,3,0,4,23,211,240,30,4.3,3,0,1,7,19,241,270,30,4.666666666666667,0,0,2,6,22,271,300,30,4.566666666666666,0,1,2,6,21
B00004S1DB,994239112000,1353344208000,1,120,120,4.116666666666666,5,7,14,37,57,121,150,30,3.966666666666667,1,4,5,5,15,151,180,30,4.4,0,1,2,11,16,181,210,30,4.2,2,1,2,9,16,211,240,30,4.2,2,4,1,2,21,241,270,30,4.433333333333334,0,2,4,3,21,271,300,30,3.8333333333333335,4,2,2,9,13
B00004S9D3,962127275000,1461267257000,1,120,120,4.641666666666667,5,2,2,13,98,121,150,30,4.833333333333333,0,0,2,1,27,151,180,30,4.5,3,0,0,3,24,181,210,30,4.7,1,1,0,2,26,211,240,30,4.7,1,0,1,3,25,241,270,30,4.866666666666666,0,0,0,4,26,271,300,30,4.5,2,2,0,1,25
B00004S9H3,983854827000,1173749316000,1,120,120,3.2416666666666667,35,13,6,20,46,121,150,30,3.7,4,3,4,6,13,151,180,30,4.1,4,0,1,9,16,181,210,30,3.2,9,3,2,5,11,211,240,30,3.3,9,2,2,5,12,241,270,30,4.0,3,3,3,3,18,271,300,30,4.4,0,3,0,9,18
B00004S9H7,965680193000,1203782228000,1,120,120,4.35,9,4,7,16,84,121,150,30,4.533333333333333,1,0,3,4,22,151,180,30,4.7,1,0,0,5,24,181,210,30,4.633333333333334,2,0,0,3,25,211,240,30,4.5,1,0,3,5,21,241,270,30,4.6,2,0,0,4,24,271,300,30,4.566666666666666,2,0,1,3,24
B00004SABW,961382224000,1483303198000,1,120,120,3.7333333333333334,20,10,11,20,59,121,150,30,3.9,2,2,6,7,13,151,180,30,4.366666666666666,1,1,3,6,19,181,210,30,3.9,2,5,2,6,15,211,240,30,3.8666666666666667,5,1,4,3,17,241,270,30,3.8,6,1,3,3,17,271,300,30,4.2,4,0,3,2,21
B00004SGFD,979775645000,1410197800000,1,120,120,3.975,7,6,21,35,51,121,150,30,4.533333333333333,0,0,1,12,17,151,180,30,3.8,3,4,2,8,13,181,210,30,3.966666666666667,2,1,5,10,12,211,240,30,4.0,3,0,7,4,16,241,270,30,4.433333333333334,2,1,1,4,22,271,300,30,4.3,1,1,3,8,17
B00004SGFI,957969461000,1505928196762,1,120,120,4.433333333333334,2,3,15,21,79,121,150,30,4.366666666666666,0,1,5,6,18,151,180,30,4.433333333333334,1,2,1,5,21,181,210,30,4.666666666666667,0,0,2,6,22,211,240,30,4.5,1,1,2,4,22,241,270,30,4.733333333333333,0,0,0,8,22,271,300,30,4.2,2,2,4,2,20
B00004SGFJ,957391670000,1506343508401,1,120,120,4.516666666666667,2,2,11,22,83,121,150,30,4.7,1,1,0,2,26,151,180,30,4.733333333333333,1,0,0,4,25,181,210,30,4.566666666666666,1,2,0,3,24,211,240,30,4.733333333333333,1,0,1,2,26,241,270,30,4.6,1,0,2,4,23,271,300,30,4.4,0,4,1,4,21
B00004SGFK,1059531781000,1467724767000,1,120,120,4.575,4,2,6,17,91,121,150,30,4.7,1,0,1,3,25,151,180,30,4.666666666666667,0,1,2,3,24,181,210,30,4.733333333333333,1,0,0,4,25,211,240,30,4.733333333333333,0,0,1,6,23,241,270,30,4.8,0,0,1,4,25,271,300,30,4.6,2,0,0,4,24
B00004SGFP,998698937000,1388291931000,1,120,120,3.5,22,15,10,27,46,121,150,30,3.433333333333333,6,2,6,5,11,151,180,30,3.566666666666667,7,1,2,8,12,181,210,30,4.133333333333334,2,2,3,6,17,211,240,30,3.7,4,1,7,6,12,241,270,30,3.566666666666667,7,2,4,1,16,271,300,30,4.133333333333334,0,7,0,5,18
B00004SUHY,979182395000,1200918652000,1,120,120,4.6,3,1,5,23,88,121,150,30,4.6,0,0,4,4,22,151,180,30,4.566666666666666,1,1,0,6,22,181,210,30,4.566666666666666,1,0,1,7,21,211,240,30,4.2,1,1,4,9,15,241,270,30,4.533333333333333,1,1,0,7,21,271,300,30,4.633333333333334,1,0,1,5,23
B00004SZ10,1148232993000,1374168269000,1,120,120,3.2083333333333335,27,13,18,32,30,121,150,30,2.6333333333333333,13,3,3,4,7,151,180,30,2.8333333333333335,9,7,1,6,7,181,210,30,2.533333333333333,14,1,5,5,5,211,240,30,2.7,12,3,4,4,7,241,270,30,3.466666666666667,7,2,3,6,12,271,300,30,3.3666666666666667,8,3,1,6,12
B00004SZ6Q,1132261157000,1421101594000,1,120,120,4.425,8,5,5,12,90,121,150,30,4.533333333333333,1,1,3,1,24,151,180,30,4.166666666666667,1,4,3,3,19,181,210,30,4.3,1,1,4,6,18,211,240,30,4.333333333333333,1,3,2,3,21,241,270,30,4.3,0,1,6,6,17,271,300,30,4.533333333333333,0,2,3,2,23
B00004SZ7H,1102084715000,1400794203000,1,120,120,4.8,1,0,0,20,99,121,150,30,4.733333333333333,0,1,0,5,24,151,180,30,4.733333333333333,0,1,1,3,25,181,210,30,4.7,1,0,1,3,25,211,240,30,4.466666666666667,1,2,1,4,22,241,270,30,4.766666666666667,0,0,0,7,23,271,300,30,4.8,0,0,1,4,25
B00004U49X,1187898337000,1532538206780,1,120,120,4.508333333333334,5,2,9,15,89,121,150,30,4.566666666666666,1,0,1,7,21,151,180,30,4.7,0,2,0,3,25,181,210,30,4.466666666666667,1,2,2,2,23,211,240,30,4.433333333333334,2,2,0,3,23,241,270,30,4.766666666666667,0,0,1,5,24,271,300,30,4.7,0,0,1,7,22
B00004UE7C,1264707548000,1443442672000,1,120,120,4.833333333333333,1,2,2,6,109,121,150,30,4.666666666666667,0,0,3,4,23,151,180,30,4.9,0,0,1,1,28,181,210,30,4.833333333333333,0,0,2,1,27,211,240,30,4.766666666666667,0,0,1,5,24,241,270,30,4.733333333333333,0,1,2,1,26,271,300,30,4.8,0,0,0,6,24
B00004UE7F,971207288000,1430408712000,1,120,120,3.7083333333333335,17,11,11,32,49,121,150,30,4.1,4,0,3,5,18,151,180,30,3.9,2,4,4,5,15,181,210,30,3.933333333333333,2,2,5,8,13,211,240,30,4.366666666666666,0,3,1,8,18,241,270,30,3.7333333333333334,3,5,4,3,15,271,300,30,3.533333333333333,6,3,3,5,13
B00004UE7U,1024564152000,1426271780000,1,120,120,4.45,2,6,8,24,80,121,150,30,4.333333333333333,2,0,2,8,18,151,180,30,4.166666666666667,3,1,2,6,18,181,210,30,4.366666666666666,2,0,3,5,20,211,240,30,4.5,1,1,2,4,22,241,270,30,4.5,2,0,0,7,21,271,300,30,4.633333333333334,0,1,1,6,22
B00004UE8A,1163793363000,1461899609000,1,120,120,3.75,12,8,28,22,50,121,150,30,3.7333333333333334,3,5,3,5,14,151,180,30,3.433333333333333,5,4,5,5,11,181,210,30,3.533333333333333,4,3,8,3,12,211,240,30,3.3333333333333335,4,6,7,2,11,241,270,30,3.2666666666666666,5,5,7,3,10,271,300,30,3.3666666666666667,7,3,5,2,13
B00004W4UJ,1258688963000,1509769495742,1,120,120,4.016666666666667,15,6,6,28,65,121,150,30,3.8333333333333335,3,2,5,7,13,151,180,30,3.9,2,5,3,4,16,181,210,30,3.6666666666666665,7,1,1,7,14,211,240,30,3.8,5,2,2,6,15,241,270,30,3.9,5,0,5,3,17,271,300,30,4.233333333333333,1,3,3,4,19
B00004W4UL,1277662978000,1472079321000,1,120,120,3.875,17,6,10,29,58,121,150,30,4.6,1,0,1,6,22,151,180,30,4.366666666666666,0,1,5,6,18,181,210,30,4.0,3,1,5,5,16,211,240,30,4.3,2,1,1,8,18,241,270,30,4.5,0,1,3,6,20,271,300,30,4.133333333333334,2,2,5,2,19
B00004W4UR,1168202964000,1447700620000,1,120,120,3.658333333333333,22,8,11,27,52,121,150,30,3.7,2,6,4,5,13,151,180,30,3.3,8,1,5,6,10,181,210,30,3.566666666666667,5,4,4,3,14,211,240,30,3.566666666666667,4,5,5,2,14,241,270,30,4.0,3,2,3,6,16,271,300,30,3.7,6,2,3,3,16
B00004W4UT,1071336367000,1365771024000,1,120,120,3.191666666666667,35,11,17,10,47,121,150,30,3.966666666666667,4,1,2,8,15,151,180,30,3.966666666666667,4,1,2,8,15,181,210,30,3.8666666666666667,4,2,2,8,14,211,240,30,2.933333333333333,9,4,3,8,6,241,270,30,3.2,7,4,5,4,10,271,300,30,3.6333333333333333,5,2,4,7,12
B00004W4V7,997705394000,1519292574655,1,120,120,4.6,2,1,13,11,93,121,150,30,4.766666666666667,0,1,1,2,26,151,180,30,4.6,1,0,1,6,22,181,210,30,4.5,0,2,2,5,21,211,240,30,4.733333333333333,0,1,0,5,24,241,270,30,4.7,0,0,3,3,24,271,300,30,4.266666666666667,2,0,5,4,19
B00004W4V8,1084755567000,1427217897000,1,120,120,4.675,1,2,6,17,94,121,150,30,4.333333333333333,2,2,2,2,22,151,180,30,4.933333333333334,0,0,0,2,28,181,210,30,4.4,2,1,2,3,22,211,240,30,4.5,2,0,2,3,23,241,270,30,4.8,0,0,1,4,25,271,300,30,4.9,0,0,0,3,27
B00004W4V9,976982305000,1416811308000,1,120,120,4.608333333333333,1,4,6,19,90,121,150,30,4.8,0,0,1,4,25,151,180,30,4.733333333333333,0,0,3,2,25,181,210,30,4.566666666666666,0,1,3,4,22,211,240,30,4.8,0,1,0,3,26,241,270,30,4.833333333333333,0,0,1,3,26,271,300,30,4.666666666666667,1,0,1,4,24
B00004W4VA,1223491554000,1631393048201,1,120,120,4.641666666666667,1,4,6,15,94,121,150,30,4.933333333333334,0,0,0,2,28,151,180,30,4.9,0,1,0,0,29,181,210,30,4.7,1,0,0,5,24,211,240,30,4.5,2,0,3,1,24,241,270,30,4.466666666666667,2,1,2,1,24,271,300,30,3.8333333333333335,5,3,2,2,18
B00004WKI7,1022512286000,1529594907834,1,120,120,2.433333333333333,50,20,16,16,18,121,150,30,1.8,18,6,3,0,3,151,180,30,2.1,14,6,5,3,2,181,210,30,2.6333333333333333,12,6,1,3,8,211,240,30,2.966666666666667,10,5,2,2,11,241,270,30,3.3,7,5,2,4,12,271,300,30,3.033333333333333,12,2,1,3,12
B00004WYJU,982884029000,1384571195000,1,120,120,4.5,2,5,9,19,85,121,150,30,4.666666666666667,1,0,1,4,24,151,180,30,4.5,0,1,0,12,17,181,210,30,4.066666666666666,2,3,3,5,17,211,240,30,4.133333333333334,5,0,0,6,19,241,270,30,3.9,2,4,3,7,14,271,300,30,4.1,4,1,3,2,20
B00004X13D,974310239000,1344174777000,1,120,120,4.616666666666666,2,5,2,19,92,121,150,30,4.533333333333333,0,1,1,9,19,151,180,30,4.533333333333333,1,1,2,3,23,181,210,30,4.333333333333333,1,0,5,6,18,211,240,30,4.6,1,0,2,4,23,241,270,30,4.666666666666667,0,1,0,7,22,271,300,30,4.466666666666667,2,1,1,3,23
B00004XSC0,1123632093000,1437329227000,1,120,120,3.2583333333333333,36,7,10,24,43,121,150,30,3.6333333333333333,7,0,5,3,15,151,180,30,3.566666666666667,6,4,1,5,14,181,210,30,3.6666666666666665,6,3,3,1,17,211,240,30,3.3666666666666667,9,1,1,8,11,241,270,30,3.9,4,2,4,3,17,271,300,30,3.3,8,3,3,4,12
B00004XSF9,1175895882000,1425222771000,1,120,120,3.808333333333333,14,11,15,24,56,121,150,30,3.9,3,4,3,3,17,151,180,30,3.466666666666667,4,5,4,7,10,181,210,30,3.8333333333333335,4,2,4,5,15,211,240,30,3.2333333333333334,6,4,4,9,7,241,270,30,4.266666666666667,2,0,5,4,19,271,300,30,3.6,5,3,3,7,12
B00004XSH6,1228869132000,1670423744960,1,120,120,3.675,24,14,5,11,66,121,150,30,4.466666666666667,3,0,1,2,24,151,180,30,4.7,0,0,4,1,25,181,210,30,4.0,6,1,0,3,20,211,240,30,3.933333333333333,5,2,2,2,19,241,270,30,4.2,4,1,2,1,22,271,300,30,4.066666666666666,4,1,2,5,18
B00004Z0IX,1212428372000,1461863778000,1,120,120,3.0416666666666665,35,11,22,18,34,121,150,30,3.433333333333333,7,2,4,5,12,151,180,30,3.9,4,2,3,5,16,181,210,30,3.5,5,2,6,7,10,211,240,30,3.1666666666666665,11,1,2,4,12,241,270,30,3.566666666666667,6,3,3,4,14,271,300,30,2.8666666666666667,12,3,2,3,10
B000050AV3,1046020061000,1578887671190,1,120,120,4.35,2,5,13,29,71,121,150,30,4.2,2,2,2,6,18,151,180,30,4.433333333333334,3,0,0,5,22,181,210,30,4.233333333333333,1,2,3,7,17,211,240,30,4.433333333333334,0,1,4,6,19,241,270,30,4.166666666666667,2,3,3,2,20,271,300,30,4.3,2,1,3,4,20
B000050FB5,984075751000,1400897949000,1,120,120,4.15,7,6,8,40,59,121,150,30,4.0,4,0,3,8,15,151,180,30,4.233333333333333,1,2,4,5,18,181,210,30,4.1,2,1,4,8,15,211,240,30,3.7,4,3,5,4,14,241,270,30,3.8,4,4,1,6,15,271,300,30,3.8666666666666667,5,1,3,5,16
B000050H5N,984858170000,1382204650000,1,120,120,3.825,20,6,9,25,60,121,150,30,3.066666666666667,8,7,1,3,11,151,180,30,3.8333333333333335,4,1,3,10,12,181,210,30,4.233333333333333,2,1,3,6,18,211,240,30,3.6,6,1,4,7,12,241,270,30,3.6,4,3,4,9,10,271,300,30,3.4,3,6,7,4,10
B000050HDN,985352558000,1514743465376,1,120,120,4.6,3,1,5,23,88,121,150,30,4.2,1,1,5,7,16,151,180,30,4.7,0,0,0,9,21,181,210,30,4.433333333333334,2,0,1,7,20,211,240,30,4.566666666666666,1,0,1,7,21,241,270,30,4.6,1,0,1,6,22,271,300,30,4.9,0,0,0,3,27
B000056HL5,990663050000,1643312987142,1,120,120,3.1666666666666665,33,18,9,16,44,121,150,30,3.1666666666666665,9,3,2,6,10,151,180,30,3.2,9,4,1,4,12,181,210,30,3.1666666666666665,11,1,2,4,12,211,240,30,3.2333333333333334,10,0,4,5,11,241,270,30,3.033333333333333,10,2,4,5,9,271,300,30,3.033333333333333,10,2,3,7,8
B00005AWCA,986322261000,1235590965000,1,120,120,4.758333333333334,2,2,1,13,102,121,150,30,4.566666666666666,1,1,2,2,24,151,180,30,4.666666666666667,0,1,2,3,24,181,210,30,4.466666666666667,1,2,1,4,22,211,240,30,4.4,2,1,3,1,23,241,270,30,4.533333333333333,1,0,2,6,21,271,300,30,4.466666666666667,1,1,1,7,20
B00005CDPH,997453595000,1446351341000,1,120,120,4.241666666666666,9,6,8,21,76,121,150,30,3.2,8,4,3,4,11,151,180,30,3.6666666666666665,3,3,7,5,12,181,210,30,3.9,4,2,2,7,15,211,240,30,3.8666666666666667,4,1,5,5,15,241,270,30,4.233333333333333,1,2,4,5,18,271,300,30,4.566666666666666,1,1,0,6,22
B00005CDPZ,1153954933000,1572761124093,1,120,120,4.608333333333333,2,2,6,21,89,121,150,30,4.7,0,0,1,7,22,151,180,30,4.533333333333333,0,1,3,5,21,181,210,30,4.7,0,0,4,1,25,211,240,30,4.433333333333334,2,2,0,3,23,241,270,30,4.266666666666667,4,0,2,2,22,271,300,30,4.5,1,2,1,3,23
B00005IBXJ,990652032000,1293585374000,1,120,120,4.65,1,1,7,21,90,121,150,30,4.4,2,0,1,8,19,151,180,30,4.766666666666667,0,1,1,2,26,181,210,30,4.7,1,0,0,5,24,211,240,30,5.0,0,0,0,0,30,241,270,30,4.466666666666667,2,1,1,3,23,271,300,30,4.866666666666666,0,0,1,2,27
B00005IBXK,991250978000,1348268387000,1,120,120,4.225,12,4,6,21,77,121,150,30,4.466666666666667,2,0,1,6,21,151,180,30,4.4,3,0,1,4,22,181,210,30,4.233333333333333,3,2,2,1,22,211,240,30,4.0,5,1,1,5,18,241,270,30,4.266666666666667,3,2,0,4,21,271,300,30,4.0,4,2,2,4,18
B00005K8PA,1003109032000,1441573093000,1,120,120,3.4916666666666667,21,10,17,33,39,121,150,30,3.6333333333333333,6,2,2,7,13,151,180,30,3.9,2,3,6,4,15,181,210,30,4.4,1,1,2,7,19,211,240,30,3.8333333333333335,3,4,1,9,13,241,270,30,3.7666666666666666,6,1,3,4,16,271,300,30,3.966666666666667,5,1,1,6,17
