asin,usable_unique_user_reviews,exported_reviews,first_timestamp,last_timestamp,first_source_line,last_source_line,rating_1,rating_2,rating_3,rating_4,rating_5
B00006F2MI,607,300,1038248633000,1225304134000,41189709,27873741,90,57,34,57,62
B00006IBAX,400,300,1300545281000,1611203649497,56009516,57657375,46,22,32,62,138
B00006IBB3,877,300,1300884854000,1464586157000,49390815,5916705,55,26,44,69,106
B00006IUTG,318,300,1140457065000,1520263866071,42379961,44124667,23,11,13,34,219
B00006IUU6,734,300,1198867912000,1441391250000,9226686,14764743,11,8,12,46,223
B00006IUUP,309,300,1093026994000,1429400700000,20982911,57678883,27,6,11,47,209
B00006IUUU,421,300,1297752252000,1507867510161,38147731,10865451,31,19,17,44,189
B00006IUVD,1261,300,1042036209000,1378562806000,65569288,62961419,36,16,21,61,166
B00006IUWC,608,300,1079358759000,1404738583000,59208836,41571044,12,7,19,49,213
B00006IUWM,4493,300,1070567684000,1296503073000,11795139,353662,11,5,13,69,202
B00006IUWN,610,300,1123986041000,1409758871000,54208643,39704752,14,5,19,43,219
B00006IUXU,368,300,1044456186000,1392683802000,5329728,29496629,65,37,21,45,132
B00006IUZ5,341,300,1038711009000,1515543360067,60727318,49340882,20,15,16,29,220
B00006IV0N,496,300,1043606368000,1489160812000,64281211,10289274,129,35,18,29,89
B00006IV0R,2310,300,1038430802000,1373738066000,57316083,34960182,10,7,14,47,222
B00006IV0U,445,300,1104891948000,1416771107000,3715868,37038704,41,35,42,60,122
B00006IV33,1262,300,1148352267000,1271734150000,30785562,4253000,4,4,4,41,247
B00006JL0Q,315,300,1168620480000,1616358312986,21569385,12110860,13,9,13,29,236
B00006JSUA,15778,300,1040715230000,1259864422000,44023810,43569867,10,8,8,42,232
B00006JSVI,316,300,1041271961000,1606221055467,49223404,30680926,8,6,9,16,261
B00006WNRZ,380,300,1131519168000,1444329629000,4341984,19214518,31,19,30,42,178
B000079R7E,311,300,1043101112000,1473192549000,31281294,24414134,51,34,19,39,157
B000079R7G,303,300,1044582802000,1551569554450,63717968,6389853,25,15,17,34,209
B00007E7CM,447,300,1220668943000,1431394645000,997710,18450222,79,25,33,52,111
B00007E7OH,470,300,1130782034000,1440979681000,63073984,48019817,18,6,16,41,219
B00007E7P4,613,300,1246175770000,1426238762000,4170749,46729448,7,5,10,51,227
B00007E8E6,350,300,1120868148000,1433113314000,3063188,20241582,55,32,26,56,131
B00007L9TN,477,300,1071424620000,1454283145000,30070824,46532998,38,16,17,45,184
B00008CM67,678,300,1058305855000,1425923618000,19058186,24180277,12,10,18,63,197
B00008CM68,1145,300,1050790845000,1306097981000,21239663,20054971,21,13,23,50,193
B00008CM69,1324,300,1092445526000,1426016769000,20932192,11301908,14,11,22,54,199
B00008CM6A,649,300,1140123095000,1462734519000,5087850,6768092,32,23,26,36,183
B00008CM6B,821,300,1067811562000,1429064580000,35078729,25962442,8,6,14,41,231
B00008CM6D,321,300,1076215649000,1659730300477,52701247,13098559,38,12,17,36,197
B00008CM6F,348,300,1124253931000,1640572147026,19474568,6042878,43,18,18,33,188
B00008CM6I,424,300,1142974194000,1564009598567,45450717,17668131,28,7,12,40,213
B00008CM6K,354,300,1062247485000,1590103018547,35531901,7902906,15,7,6,24,248
B00008IH9S,530,300,1112468541000,1420474532000,63614001,39951993,42,28,27,53,150
B00008IH9X,835,300,1068863292000,1388070848000,60003883,2667823,58,18,21,50,153
B00008NRU0,333,300,1089940333000,1454464568000,36357053,22321643,11,27,25,86,151
B00008UI0R,857,300,1090700435000,1202413601000,14186554,49667503,20,14,21,92,153
B00008VSCO,658,300,1121792532000,1336480897000,53626899,54588884,15,14,12,48,211
B00008XET9,5730,300,1185748132000,1404860328000,26433325,66676800,48,36,46,67,103
B000094G4K,455,300,1306277597000,1496065255000,41567115,10558632,9,3,6,19,263
B000094Y17,366,300,1199658906000,1470746334000,20404809,53446838,56,26,37,56,125
B000095RBQ,415,300,1229286137000,1522110065024,15957336,12607699,21,8,14,53,204
B000095RC5,827,300,1068161899000,1510785277750,60933815,3336850,60,18,28,52,142
B000095ZGC,370,300,1168348318000,1468625173000,11443022,11094566,45,24,27,51,153
B000096JG4,740,300,1302140951000,1466982891000,18162437,21552943,22,6,11,38,223
B00009K3SY,559,300,1065202819000,1201148330000,56675590,14708169,24,10,9,21,236
B00009R4CM,323,300,1254760877000,1541543566915,42045350,66893988,6,1,11,26,256
B00009V4FM,823,300,1095629931000,1344610645000,33571306,464097,5,4,10,47,234
B00009W3G7,1318,300,1183624471000,1410186874000,17899268,54986428,13,13,26,65,183
B00009W3G8,836,300,1189376274000,1531234690057,24900729,5812717,35,15,26,49,175
B0000A1ZMS,3454,300,1107625546000,1338050608000,45587985,45587882,70,52,35,47,96
B0000A1ZMV,430,300,1083156547000,1359642385000,25593934,14245557,62,25,32,55,126
B0000A5R0L,638,300,1062790424000,1467131977000,50199739,33799087,61,24,24,27,164
B0000AQL25,353,300,1090348920000,1549731089769,44967574,60448896,71,26,13,43,147
B0000AV1B9,464,300,1081365621000,1432149638000,40014958,6480986,69,30,36,49,116
B0000AZK80,315,300,1097865886000,1613847904852,41817951,35406666,23,17,23,59,178
B0000BVGOW,542,300,1194882004000,1464403685000,44009900,14161445,45,28,41,49,137
B0000BYBFC,330,300,1280862625000,1566042050428,35123441,33424938,10,2,19,46,223
B0000BYC4B,1695,300,1200141064000,1390500414000,2886423,15975903,6,10,19,43,222
B0000BYCFU,3790,300,1123023125000,1347984450000,25575403,30142950,4,9,8,38,241
B0000BYD0F,328,300,1246802276000,1526166591830,41856572,9138851,11,5,13,30,241
B0000BYEJ4,383,300,1182923522000,1571343989745,48046053,36764071,18,10,25,38,209
B0000BYEQS,372,300,1196680642000,1472157548000,57002035,13134617,6,5,17,44,228
B0000CCY14,567,300,1087739360000,1445701192000,65014324,53442058,21,22,25,56,176
B0000CCY1S,320,300,1133842991000,1643050676900,36301840,52084783,21,26,29,43,181
B0000CDD3Q,305,300,1165621044000,1552009489607,45681027,7804311,39,23,17,61,160
B0000CDVD7,727,300,1109643413000,1375901043000,63319337,38840148,19,14,20,40,207
B0000CF3IA,398,300,1232936708000,1617331425371,46349252,1002421,24,12,17,25,222
B0000CF3UW,540,300,1172063225000,1459769805000,62368847,42158491,31,21,29,41,178
B0000CF41U,330,300,1150841328000,1577362357180,8562188,39749640,8,3,6,27,256
B0000CF5JJ,342,300,1303873613000,1612294840797,7087488,2413331,23,20,38,48,171
B0000CF7H6,369,300,1185517204000,1483735354000,12991227,5527578,22,14,44,64,156
B0000CF8Q6,1336,300,1296480961000,1454118162000,22977406,7983278,4,2,10,47,237
B0000CF8SU,471,300,1218634032000,1506187165646,64257596,40923799,78,31,45,42,104
B0000CFB4N,1207,300,1090941067000,1404038614000,32466923,4125224,10,3,7,36,244
B0000CFG1Y,821,300,1134402340000,1419353118000,58980252,21747376,19,12,25,53,191
B0000CFLCT,1005,300,1141046655000,1447869996000,53022804,43996072,6,9,14,42,229
B0000CFMAH,346,300,1226092123000,1598039161442,16327289,11245518,38,12,22,32,196
B0000CFMPQ,347,300,1253802253000,1613231778758,41263542,42884440,7,5,10,30,248
B0000CFMZN,622,300,1123637707000,1520616944095,1576192,12987907,24,14,24,20,218
B0000CFMZP,862,300,1120252441000,1400356087000,46973603,29246761,25,14,20,33,208
B0000CFNAZ,308,300,1178504981000,1658311800712,56271903,46608875,42,32,44,47,135
B0000CFNE3,3616,300,1153941912000,1368161717000,48364048,47591463,30,11,27,42,190
B0000CFON5,356,300,1243603685000,1483214109000,54475215,21017039,20,14,33,48,185
B0000CFP0F,2042,300,1097968033000,1429644428000,23294844,5358724,17,20,37,68,158
B0000CFPH9,400,300,1094619329000,1543937989305,38650715,1646631,16,12,21,38,213
B0000CFPPD,504,300,1175778929000,1432395883000,25260867,18977158,22,20,44,54,160
B0000CFPT2,330,300,1189501132000,1460945460000,18864326,28715589,4,18,22,44,212
B0000CFQJS,2673,300,1175872938000,1374421874000,31957235,57887104,46,22,32,46,154
B0000CFQN8,515,300,1178103927000,1506738507054,49363561,26906009,90,23,14,33,140
B0000CFS2V,550,300,1491060796000,1618259308066,18442255,45494850,51,25,36,38,150
B0000CFSCS,468,300,1205895602000,1624924536984,16495962,10907957,11,7,22,36,224
B0000CFSHX,410,300,1256371213000,1562644730382,43386889,60901149,20,20,28,39,193
B0000CFTB0,1236,300,1114660439000,1354027908000,39177184,20563901,5,5,22,51,217
B0000CFTDW,601,300,1183734629000,1454691218000,9317346,23123278,7,6,11,39,237
B0000CFTV5,337,300,1348075952000,1635640953943,12026505,25479030,14,4,14,24,244
B0000CFTWS,536,300,1091813530000,1461940051000,1396578,40897930,28,22,30,66,154
B0000CGEUO,340,300,1264874974000,1580397821035,63862107,39923149,34,11,16,42,197
B0000DAQ5E,809,300,1076766701000,1429863386000,14776407,56691601,9,6,10,32,243
B0000DAQ93,660,300,1162065798000,1490472505000,52780656,35066278,2,1,5,40,252
B0000DASDN,384,300,1085076368000,1525193125428,55822409,16643492,19,7,14,46,214
B0000DAZ72,491,300,1159557624000,1581681812936,41598560,53161864,10,6,10,39,235
B0000DBJVB,515,300,1134571994000,1549497828002,6036672,16269672,11,6,14,46,223
B0000DDU2O,498,300,1176344513000,1420916049000,37877921,37878196,9,8,24,64,195
B0000DDU2S,462,300,1169378950000,1417039890000,17585361,63109224,12,10,30,61,187
B0000DDVHD,1111,300,1240650666000,1434406151000,34310123,14478805,23,18,30,51,178
B0000DDVMH,1272,300,1318377425000,1441551202000,29975361,29228693,1,0,7,43,249
B0000DDVQM,338,300,1171631857000,1619595074051,55327638,28313888,7,4,12,35,242
B0000DDVQP,314,300,1226426069000,1592036719693,48967549,5522927,11,15,22,47,205
B0000DDVSE,508,300,1171208149000,1578798200301,24506702,24505766,13,4,12,22,249
B0000DDVWK,565,300,1224505738000,1442933041000,55332900,19476494,18,26,34,50,172
B0000DDVYE,414,300,1105124335000,1420833893000,62065794,62065806,40,26,33,59,142
B0000DDXLE,319,300,1270142438000,1641753227724,35041029,55554841,43,8,10,27,212
B0000DDXVK,768,300,1243361735000,1430699332000,29289608,55818772,24,16,27,37,196
B0000DDZU2,351,300,1152977784000,1465578014000,47900276,24173508,20,18,22,66,174
B0000DE12E,322,300,1180062655000,1586136316289,42504384,64220174,7,8,22,55,208
B0000DE1MV,435,300,1118174818000,1489171297000,57444543,17525736,5,3,2,36,254
B0000DE2SS,936,300,1094738053000,1358305342000,33201509,63577985,33,13,17,65,172
B0000DE4LW,506,300,1178466461000,1605394952824,7628586,64428881,127,28,30,29,86
B0000DE9B5,1286,300,1120606584000,1363376886000,50151963,1620644,13,19,18,54,196
B0000DH4NL,617,300,1163107429000,1442962829000,41968280,24464990,10,14,23,82,171
B0000DINAX,578,300,1199970983000,1458779643000,23689388,29296271,14,6,19,47,214
B0000DIX7U,646,300,1200681372000,1498249212057,47078877,1580396,27,19,15,36,203
B0000DJUYR,3219,300,1264320829000,1448086823000,13913948,19375149,55,16,18,57,154
B0000E170W,481,300,1110861748000,1407065324000,29748915,38677356,34,20,18,52,176
B0000E1FDA,1337,300,1097368625000,1386856721000,50027593,44788660,26,12,16,35,211
B0000E1VQY,892,300,1198786721000,1414269549000,8285268,52569317,2,5,12,45,236
B0000E1VRJ,362,300,1175892689000,1607275006179,48332197,43326851,15,10,14,49,212
B0000E2PO7,401,300,1093675682000,1588183235702,59075799,38464779,7,4,12,25,252
B0000E2V3X,2359,300,1098056335000,1365006288000,6594925,5911953,6,2,3,18,271
B0000E5IN3,441,300,1107222111000,1419366121000,63816580,49864741,40,27,27,48,158
B0000E6EDZ,611,300,1168355949000,1472368175000,8408696,9542722,24,38,32,67,139
B0000T6J3I,576,300,1068805868000,1245862453000,2295464,59320201,22,11,17,52,198
B0000TPDJE,811,300,1138315505000,1441314552000,43015201,26569540,8,3,20,49,220
B0000TQGZO,380,300,1189671802000,1444231186000,58610107,1222714,22,17,43,78,140
B0000TQI52,385,300,1288361231000,1487043575000,64695881,35004018,88,42,54,41,75
B0000TRTK0,312,300,1172554495000,1558463342883,15541597,4613658,26,22,22,67,163
B0000UV01S,847,300,1197630522000,1446881663000,14114767,29195230,2,7,9,44,238
B0000V157Q,734,300,1153604323000,1405128529000,2628888,36891593,47,33,44,60,116
B0000V6Z0S,381,300,1152057506000,1480347759000,19475581,37340874,7,1,8,42,242
B0000VLF2Q,550,300,1277315534000,1485745157000,4055138,11108645,6,9,15,45,225
B0000VLMVU,1070,300,1262239754000,1490462293000,11305323,24504824,12,9,10,42,227
B0000VLPAS,1125,300,1192016883000,1445559348000,53871081,38394197,12,7,16,50,215
B0000VLPBC,391,300,1307735218000,1578231932846,3898127,11189242,18,9,27,41,205
B0000VLPTO,618,300,1156285891000,1488836831000,34253616,32450726,28,17,27,34,194
B0000VLSUK,420,300,1268682108000,1596502460529,20612396,7504965,27,10,23,44,196
B0000VLU62,1440,300,1242134001000,1381519124000,45061251,52716498,26,33,46,72,123
B0000VLU9E,323,300,1306248998000,1624977788465,56127737,50798044,51,21,32,36,160
B0000VLUDK,2011,300,1214451244000,1447857845000,58025929,36111352,17,9,25,47,202
B0000VLUMG,335,300,1242868895000,1523469742096,11072278,17353658,10,12,13,55,210
B0000VLYB8,663,300,1231795780000,1518744453436,32164948,60808816,17,13,32,40,198
B0000VMBF6,904,300,1243814027000,1522785673287,12519520,20654595,62,37,30,43,128
B0000VMITA,449,300,1209705030000,1555098468607,47758874,47758858,10,11,23,61,195
B0000VOKBO,363,300,1224860923000,1535398907950,66079499,32056903,15,11,20,56,198
B0000VONZ2,351,300,1179004062000,1510703127985,57074439,41452240,24,17,32,56,171
B0000VYDKM,1967,300,1101699269000,1363354145000,48082684,48081681,31,14,24,66,165
B0000VZ3YM,536,300,1226362932000,1514966645524,34016764,42863769,16,17,32,61,174
B0000VZA2W,2190,300,1155090971000,1420900899000,558695,53941454,29,23,19,73,156
B0000W03XC,668,300,1313897847000,1527081871266,7338437,30325876,39,30,37,43,151
B0000W4MYI,1097,300,1117519585000,1363916292000,6684812,41805663,46,21,27,62,144
B0000X6ESO,606,300,1174323338000,1455717258000,60680269,33811330,28,18,36,51,167
B0000X7CMQ,1849,300,1080243380000,1233374838000,55387948,55388238,34,31,30,71,134
B0000X8X3I,457,300,1116432731000,1523917934654,56802951,27872321,21,13,41,84,141
B0000X8X3S,319,300,1238347399000,1623201645856,30971748,33045953,32,27,38,43,160
B0000XOBDE,447,300,1091218137000,1507061028955,35073542,6952910,1,0,7,32,260
B0000YS93Q,308,300,1271270434000,1578621547859,25452326,14528247,9,6,17,61,207
B0000YTYGM,3182,300,1092441870000,1298831543000,39531524,18692621,46,25,19,56,154
B0000Z6JJG,2577,300,1120519419000,1358881699000,61464461,2978484,11,18,12,38,221
B0000Z6JK0,2343,300,1095567084000,1418220955000,1336807,27601086,5,13,17,45,220
B0000ZLB7G,476,300,1174923014000,1486429345000,11260573,12441941,6,7,20,54,213
B0000ZU2UI,397,300,1232809304000,1482696926000,37223820,31533653,8,2,25,62,203
B00012F3WC,391,300,1169836607000,1625344076343,33630685,11660643,33,20,29,45,173
B00013K77C,306,300,1090130974000,1639089848825,6476408,34227690,68,28,32,26,146
B00013K8OO,2569,300,1120791952000,1433293438000,5134690,38431499,20,18,29,82,151
B00014CEXG,560,300,1149459092000,1427122552000,34027290,34026912,17,13,24,65,181
B00014WEHW,695,300,1140982474000,1460817114000,52538205,429277,23,9,13,35,220
B00014WEIG,364,300,1192137236000,1454802571000,19984042,5514634,40,8,23,45,184
B00014WEKY,582,300,1199343612000,1451550313000,58807640,6402417,19,26,38,52,165
B00015COVW,327,300,1231317922000,1601387751272,9742529,42148550,14,23,22,32,209
B00015NN0S,338,300,1105572644000,1593103722762,21666574,45025646,7,6,7,43,237
B00017UTQW,326,300,1182016513000,1601907479829,22042090,39657873,9,12,21,33,225
B00018BOHO,331,300,1226844608000,1622761490200,58798855,60455861,48,8,6,17,221
B00018RR48,1591,300,1097452679000,1394832185000,9042795,39028239,8,4,7,59,222
B00019G8IS,1075,300,1111033685000,1347748867000,13229306,8994483,26,9,19,58,188
B0001AG8F0,420,300,1117576071000,1415732325000,7622812,37468429,27,20,24,68,161
B0001AO8E8,495,300,1197383949000,1473690767000,44098189,45871451,44,30,32,40,154
B0001BMYIE,949,300,1178997804000,1413391009000,7214172,6168684,7,3,10,29,251
B0001E839U,1380,300,1272506523000,1441147170000,47634584,7128837,5,4,14,47,230
B0001HLWHW,591,300,1094673865000,1565817374992,48043757,29790584,79,40,40,35,106
B0001LO5EK,450,300,1119964194000,1536414921180,66587639,6502517,16,5,21,56,202
B0001LO5FO,550,300,1110580121000,1585516409521,57232004,7940050,11,12,13,35,229
B0001MKU48,433,300,1119540250000,1449033038000,35489667,16672474,2,5,19,44,230
B0001MS3P6,784,300,1193558308000,1418857080000,64568875,18362781,35,14,25,32,194
B0001MS400,405,300,1168526811000,1479834068000,11240173,45143449,7,10,14,31,238
B0001MSDOC,1145,300,1131106327000,1436789690000,56400704,43995691,6,9,14,49,222
B0001PG238,1576,300,1127107099000,1354327571000,43347027,51606133,42,26,20,56,156
B0001QNGHC,1105,300,1361914853000,1563645306052,59554957,44128493,46,25,32,34,163
B0001UJVO0,308,300,1229461676000,1667064624793,47611115,19470846,8,2,18,37,235
B0001UQVRU,413,300,1096028532000,1417040886000,47534389,43696429,47,34,25,47,147
B0001V03X2,375,300,1250038312000,1586673906161,11114122,32158395,28,16,23,51,182
B0001V489W,741,300,1191093189000,1466716075000,65904010,46973786,26,7,12,53,202
B0001V4AFO,402,300,1167090037000,1458841414000,11018620,41159182,54,21,19,51,155
B0001WW2G2,911,300,1134155634000,1366213937000,60815143,47060953,25,24,30,86,135
B0001WW2GC,538,300,1086122006000,1425708125000,63446054,63446088,25,15,43,58,159
B0001XRNDI,461,300,1172900999000,1372486892000,14399139,23573427,6,7,15,69,203
B0001XRNEM,2192,300,1190019109000,1362849297000,40217376,10679928,25,15,25,60,175
B0001XXCYC,620,300,1373829103000,1566755848048,15744874,25828181,10,8,16,34,232
B0001YAPHS,435,300,1190805934000,1499800586723,48022634,44341038,19,13,32,47,189
B0001YH1A2,1187,300,1151250735000,1426960814000,57014400,11604977,13,11,8,42,226
B0001YH1LG,547,300,1094251502000,1384186397000,49201552,21106751,41,34,34,37,154
B0001YH1O8,329,300,1173900017000,1483397478000,25214295,27854277,41,33,36,37,153
B0001ZI53S,416,300,1140966534000,1444413058000,63347508,1657315,14,7,11,38,230
B0001ZJMPI,325,300,1173119296000,1564555761890,39696317,66005656,6,15,23,39,217
B000209YPA,446,300,1170854165000,1483450202000,19542249,35019013,18,15,32,42,193
B00020BQGK,1850,300,1111021056000,1204083060000,64151918,49527850,18,10,16,59,197
B00020O3YC,329,300,1134426275000,1619960866833,29467369,56131494,38,36,38,43,145
B00020R0VK,495,300,1090696021000,1176218584000,62839349,62839256,25,17,26,80,152
B00022HYJ6,435,300,1094433031000,1178601699000,17326401,21558334,28,24,27,68,153
B00022NGIE,735,300,1090332661000,1368939249000,63160445,37870884,24,12,23,42,199
B00022P11O,406,300,1153410644000,1620494559893,62066254,58485636,14,11,18,45,212
B00023C6K2,924,300,1176321106000,1441464722000,35500102,5554273,4,2,10,35,249
B00024JOVA,631,300,1162830978000,1445517440000,60080886,25712465,70,43,45,56,86
B00024JR4E,944,300,1126729245000,1396451050000,56312131,27868724,14,19,27,65,175
B000256NQI,349,300,1181571047000,1547917522320,21816493,2245309,33,17,22,49,179
B00025H2PY,6313,300,1130376108000,1378132853000,10383567,11517203,13,9,17,52,209
