asin,reference_n,reference_mean,reference_count_1,reference_prob_1,reference_count_2,reference_prob_2,reference_count_3,reference_prob_3,reference_count_4,reference_prob_4,reference_count_5,reference_prob_5,loo_domain_n,loo_domain_mean,loo_domain_count_1,loo_domain_prob_1,loo_domain_count_2,loo_domain_prob_2,loo_domain_count_3,loo_domain_prob_3,loo_domain_count_4,loo_domain_prob_4,loo_domain_count_5,loo_domain_prob_5
B00004OCIP,120,4.441666666666666,6,0.05,7,0.058333333333333334,5,0.041666666666666664,12,0.1,90,0.75,3749520,4.319270199918923,278011,0.0741457573236041,157978,0.042132859672704775,237005,0.0632094241396232,492422,0.13132934348929998,2584104,0.689182615374768
B00004OCIW,120,3.175,43,0.35833333333333334,8,0.06666666666666667,6,0.05,11,0.09166666666666666,52,0.43333333333333335,3749520,4.319310738441187,277974,0.07413588939384241,157977,0.042132592971900404,237004,0.06320915743881883,492423,0.13132961019010433,2584142,0.689192750005334
B00004OCJJ,120,4.308333333333334,7,0.058333333333333334,8,0.06666666666666667,4,0.03333333333333333,23,0.19166666666666668,78,0.65,3749520,4.319274467131793,278010,0.07414549062279972,157977,0.042132592971900404,237006,0.06320969084042757,492411,0.1313264097804519,2584116,0.6891858157844204
B00004OCJK,120,4.775,0,0.0,1,0.008333333333333333,3,0.025,18,0.15,98,0.8166666666666667,3749520,4.319259531886749,278017,0.07414735752843031,157984,0.04213445987753099,237007,0.06320995754123195,492416,0.13132774328447375,2584096,0.689180481768333
B00004OCJN,120,4.675,1,0.008333333333333333,1,0.008333333333333333,6,0.05,20,0.16666666666666666,92,0.7666666666666667,3749520,4.319262732296401,278016,0.07414709082762594,157984,0.04213445987753099,237004,0.06320915743881883,492414,0.131327209882865,2584102,0.6891820819731592
B00004OCJO,120,4.225,6,0.05,8,0.06666666666666667,11,0.09166666666666666,23,0.19166666666666668,72,0.6,3749520,4.319277134139837,278011,0.0741457573236041,157977,0.042132592971900404,236999,0.06320782393479699,492411,0.1313264097804519,2584122,0.6891874159892466
B00004OCJQ,120,4.566666666666666,2,0.016666666666666666,2,0.016666666666666666,6,0.05,26,0.21666666666666667,84,0.7,3749520,4.319266199406857,278015,0.07414682412682157,157983,0.04213419317672662,237004,0.06320915743881883,492408,0.1313256096780388,2584110,0.6891842155795942
B00004OCKT,120,3.95,10,0.08333333333333333,9,0.075,16,0.13333333333333333,27,0.225,58,0.48333333333333334,3749520,4.319285935266381,278007,0.07414469052038661,157976,0.04213232627109603,236994,0.06320649043077514,492407,0.13132534297723442,2584136,0.6891911498005078
B00004OCNU,120,4.091666666666667,7,0.058333333333333334,9,0.075,15,0.125,24,0.2,65,0.5416666666666666,3749520,4.319281401352707,278010,0.07414549062279972,157976,0.04213232627109603,236995,0.06320675713157951,492410,0.13132614307964752,2584129,0.6891892828948772
B00004R936,120,3.8583333333333334,12,0.1,14,0.11666666666666667,11,0.09166666666666666,25,0.20833333333333334,58,0.48333333333333334,3749520,4.319288868975229,278005,0.07414415711877786,157971,0.04213099276707419,236999,0.06320782393479699,492409,0.13132587637884316,2584136,0.6891911498005078
B00004RDDN,120,4.441666666666666,6,0.05,7,0.058333333333333334,4,0.03333333333333333,14,0.11666666666666667,89,0.7416666666666667,3749520,4.319270199918923,278011,0.0741457573236041,157978,0.042132859672704775,237006,0.06320969084042757,492420,0.13132881008769123,2584105,0.6891828820755723
B00004RDF0,120,4.358333333333333,9,0.075,3,0.025,9,0.075,14,0.11666666666666667,85,0.7083333333333334,3749520,4.319272866926966,278008,0.07414495722119098,157982,0.04213392647592225,237001,0.06320835733640573,492420,0.13132881008769123,2584109,0.6891839488787899
B00004RDF3,120,4.616666666666666,4,0.03333333333333333,2,0.016666666666666666,6,0.05,12,0.1,96,0.8,3749520,4.3192645992020315,278013,0.07414629072521282,157983,0.04213419317672662,237004,0.06320915743881883,492422,0.13132934348929998,2584098,0.6891810151699418
B00004RDFG,120,4.25,11,0.09166666666666666,4,0.03333333333333333,7,0.058333333333333334,20,0.16666666666666666,78,0.65,3749520,4.319276334037424,278006,0.07414442381958224,157981,0.04213365977511788,237003,0.06320889073801447,492414,0.131327209882865,2584116,0.6891858157844204
B00004RDFR,120,3.783333333333333,18,0.15,8,0.06666666666666667,12,0.1,26,0.21666666666666667,56,0.4666666666666667,3749520,4.319291269282468,277999,0.07414255691395165,157977,0.042132592971900404,236998,0.06320755723399261,492408,0.1313256096780388,2584138,0.6891916832021165
B00004S1B8,120,4.491666666666666,5,0.041666666666666664,3,0.025,4,0.03333333333333333,24,0.2,84,0.7,3749520,4.319268599714097,278012,0.07414602402440845,157982,0.04213392647592225,237006,0.06320969084042757,492410,0.13132614307964752,2584110,0.6891842155795942
B00004S1CV,120,4.416666666666667,4,0.03333333333333333,2,0.016666666666666666,13,0.10833333333333334,22,0.18333333333333332,79,0.6583333333333333,3749520,4.319271000021336,278013,0.07414629072521282,157983,0.04213419317672662,236997,0.06320729053318824,492412,0.13132667648125626,2584115,0.6891855490836161
B00004S1DB,120,4.116666666666666,5,0.041666666666666664,7,0.058333333333333334,14,0.11666666666666667,37,0.30833333333333335,57,0.475,3749520,4.319280601250293,278012,0.07414602402440845,157978,0.042132859672704775,236996,0.06320702383238389,492397,0.13132267596919073,2584137,0.6891914165013122
B00004S9D3,120,4.641666666666667,5,0.041666666666666664,2,0.016666666666666666,2,0.016666666666666666,13,0.10833333333333334,98,0.8166666666666667,3749520,4.319263799099618,278012,0.07414602402440845,157983,0.04213419317672662,237008,0.06321022424203632,492421,0.1313290767884956,2584096,0.689180481768333
B00004S9H3,120,3.2416666666666667,35,0.2916666666666667,13,0.10833333333333334,6,0.05,20,0.16666666666666666,46,0.38333333333333336,3749520,4.319308604834752,277982,0.07413802300027737,157972,0.04213125946787855,237004,0.06320915743881883,492414,0.131327209882865,2584148,0.6891943502101603
B00004S9H7,120,4.35,9,0.075,4,0.03333333333333333,7,0.058333333333333334,16,0.13333333333333333,84,0.7,3749520,4.319273133627771,278008,0.07414495722119098,157981,0.04213365977511788,237003,0.06320889073801447,492418,0.1313282766860825,2584110,0.6891842155795942
B00004SABW,120,3.7333333333333334,20,0.16666666666666666,10,0.08333333333333333,11,0.09166666666666666,20,0.16666666666666666,59,0.49166666666666664,3749520,4.3192928694872945,277997,0.07414202351234292,157975,0.04213205957029166,236999,0.06320782393479699,492414,0.131327209882865,2584135,0.6891908830997034
B00004SGFD,120,3.975,7,0.058333333333333334,6,0.05,21,0.175,35,0.2916666666666667,51,0.425,3749520,4.319285135163968,278010,0.07414549062279972,157979,0.04213312637350914,236989,0.0632051569267533,492399,0.13132320937079947,2584143,0.6891930167061384
B00004SGFI,120,4.433333333333334,2,0.016666666666666666,3,0.025,15,0.125,21,0.175,79,0.6583333333333333,3749520,4.319270466619727,278015,0.07414682412682157,157982,0.04213392647592225,236995,0.06320675713157951,492413,0.13132694318206065,2584115,0.6891855490836161
B00004SGFJ,120,4.516666666666667,2,0.016666666666666666,2,0.016666666666666666,11,0.09166666666666666,22,0.18333333333333332,83,0.6916666666666667,3749520,4.3192677996116835,278015,0.07414682412682157,157983,0.04213419317672662,236999,0.06320782393479699,492412,0.13132667648125626,2584111,0.6891844822803985
B00004SGFK,120,4.575,4,0.03333333333333333,2,0.016666666666666666,6,0.05,17,0.14166666666666666,91,0.7583333333333333,3749520,4.319265932706053,278013,0.07414629072521282,157983,0.04213419317672662,237004,0.06320915743881883,492417,0.1313280099852781,2584103,0.6891823486739636
B00004SGFP,120,3.5,22,0.18333333333333332,15,0.125,10,0.08333333333333333,27,0.225,46,0.38333333333333336,3749520,4.319300337109817,277995,0.07414149011073418,157970,0.042130726066269816,237000,0.06320809063560136,492407,0.13132534297723442,2584148,0.6891943502101603
B00004SUHY,120,4.6,3,0.025,1,0.008333333333333333,5,0.041666666666666664,23,0.19166666666666668,88,0.7333333333333333,3749520,4.31926513260364,278014,0.0741465574260172,157984,0.04213445987753099,237005,0.0632094241396232,492411,0.1313264097804519,2584106,0.6891831487763768
B00004SZ10,120,3.2083333333333335,27,0.225,13,0.10833333333333334,18,0.15,32,0.26666666666666666,30,0.25,3749520,4.31930967163797,277990,0.07414015660671233,157972,0.04213125946787855,236992,0.0632059570291664,492402,0.13132400947321257,2584164,0.6891986174230301
B00004SZ6Q,120,4.425,8,0.06666666666666667,5,0.041666666666666664,5,0.041666666666666664,12,0.1,90,0.75,3749520,4.319270733320532,278009,0.07414522392199535,157980,0.04213339307431351,237005,0.0632094241396232,492422,0.13132934348929998,2584104,0.689182615374768
B00004SZ7H,120,4.8,1,0.008333333333333333,0,0.0,0,0.0,20,0.16666666666666666,99,0.825,3749520,4.319258731784335,278016,0.07414709082762594,157985,0.04213472657833536,237010,0.06321075764364505,492414,0.131327209882865,2584095,0.6891802150675287
B00004U49X,120,4.508333333333334,5,0.041666666666666664,2,0.016666666666666666,9,0.075,15,0.125,89,0.7416666666666667,3749520,4.319268066312488,278012,0.07414602402440845,157983,0.04213419317672662,237001,0.06320835733640573,492419,0.13132854338688685,2584105,0.6891828820755723
B00004UE7C,120,4.833333333333333,1,0.008333333333333333,2,0.016666666666666666,2,0.016666666666666666,6,0.05,109,0.9083333333333333,3749520,4.319257664981118,278016,0.07414709082762594,157983,0.04213419317672662,237008,0.06321022424203632,492428,0.13133094369412618,2584085,0.689177548059485
B00004UE7F,120,3.7083333333333335,17,0.14166666666666666,11,0.09166666666666666,11,0.09166666666666666,32,0.26666666666666666,49,0.4083333333333333,3749520,4.319293669589707,278000,0.07414282361475602,157974,0.042131792869487296,236999,0.06320782393479699,492402,0.13132400947321257,2584145,0.6891935501077471
B00004UE7U,120,4.45,2,0.016666666666666666,6,0.05,8,0.06666666666666667,24,0.2,80,0.6666666666666666,3749520,4.319269933218119,278015,0.07414682412682157,157979,0.04213312637350914,237002,0.0632086240372101,492410,0.13132614307964752,2584114,0.6891852823828116
B00004UE8A,120,3.75,12,0.1,8,0.06666666666666667,28,0.23333333333333334,22,0.18333333333333332,50,0.4166666666666667,3749520,4.319292336085685,278005,0.07414415711877786,157977,0.042132592971900404,236982,0.06320329002112271,492412,0.13132667648125626,2584144,0.6891932834069427
B00004W4UJ,120,4.016666666666667,15,0.125,6,0.05,6,0.05,28,0.23333333333333334,65,0.5416666666666666,3749520,4.319283801659946,278002,0.07414335701636476,157979,0.04213312637350914,237004,0.06320915743881883,492406,0.13132507627643006,2584129,0.6891892828948772
B00004W4UL,120,3.875,17,0.14166666666666666,6,0.05,10,0.08333333333333333,29,0.24166666666666667,58,0.48333333333333334,3749520,4.31928833557362,278000,0.07414282361475602,157979,0.04213312637350914,237000,0.06320809063560136,492405,0.13132480957562567,2584136,0.6891911498005078
B00004W4UR,120,3.658333333333333,22,0.18333333333333332,8,0.06666666666666667,11,0.09166666666666666,27,0.225,52,0.43333333333333335,3749520,4.319295269794534,277995,0.07414149011073418,157977,0.042132592971900404,236999,0.06320782393479699,492407,0.13132534297723442,2584142,0.689192750005334
B00004W4UT,120,3.191666666666667,35,0.2916666666666667,11,0.09166666666666666,17,0.14166666666666666,10,0.08333333333333333,47,0.39166666666666666,3749520,4.319310205039578,277982,0.07413802300027737,157974,0.042131792869487296,236993,0.06320622372997077,492424,0.1313298768909087,2584147,0.6891940835093558
B00004W4V7,120,4.6,2,0.016666666666666666,1,0.008333333333333333,13,0.10833333333333334,11,0.09166666666666666,93,0.775,3749520,4.31926513260364,278015,0.07414682412682157,157984,0.04213445987753099,236997,0.06320729053318824,492423,0.13132961019010433,2584101,0.6891818152723549
B00004W4V8,120,4.675,1,0.008333333333333333,2,0.016666666666666666,6,0.05,17,0.14166666666666666,94,0.7833333333333333,3749520,4.319262732296401,278016,0.07414709082762594,157983,0.04213419317672662,237004,0.06320915743881883,492417,0.1313280099852781,2584100,0.6891815485715505
B00004W4V9,120,4.608333333333333,1,0.008333333333333333,4,0.03333333333333333,6,0.05,19,0.15833333333333333,90,0.75,3749520,4.319264865902835,278016,0.07414709082762594,157981,0.04213365977511788,237004,0.06320915743881883,492415,0.1313274765836694,2584104,0.689182615374768
B00004W4VA,120,4.641666666666667,1,0.008333333333333333,4,0.03333333333333333,6,0.05,15,0.125,94,0.7833333333333333,3749520,4.319263799099618,278016,0.07414709082762594,157981,0.04213365977511788,237004,0.06320915743881883,492419,0.13132854338688685,2584100,0.6891815485715505
B00004WKI7,120,2.433333333333333,50,0.4166666666666667,20,0.16666666666666666,16,0.13333333333333333,16,0.13333333333333333,18,0.15,3749520,4.319334474812776,277967,0.07413402248821183,157965,0.042129392562247965,236994,0.06320649043077514,492418,0.1313282766860825,2584176,0.6892018178326825
B00004WYJU,120,4.5,2,0.016666666666666666,5,0.041666666666666664,9,0.075,19,0.15833333333333333,85,0.7083333333333334,3749520,4.319268333013293,278015,0.07414682412682157,157980,0.04213339307431351,237001,0.06320835733640573,492415,0.1313274765836694,2584109,0.6891839488787899
B00004X13D,120,4.616666666666666,2,0.016666666666666666,5,0.041666666666666664,2,0.016666666666666666,19,0.15833333333333333,92,0.7666666666666667,3749520,4.3192645992020315,278015,0.07414682412682157,157980,0.04213339307431351,237008,0.06321022424203632,492415,0.1313274765836694,2584102,0.6891820819731592
B00004XSC0,120,3.2583333333333333,36,0.3,7,0.058333333333333334,10,0.08333333333333333,24,0.2,43,0.35833333333333334,3749520,4.319308071433143,277981,0.074137756299473,157978,0.042132859672704775,237000,0.06320809063560136,492410,0.13132614307964752,2584151,0.6891951503125734
B00004XSF9,120,3.808333333333333,14,0.11666666666666667,11,0.09166666666666666,15,0.125,24,0.2,56,0.4666666666666667,3749520,4.319290469180055,278003,0.07414362371716914,157974,0.042131792869487296,236995,0.06320675713157951,492410,0.13132614307964752,2584138,0.6891916832021165
B00004XSH6,120,3.675,24,0.2,14,0.11666666666666667,5,0.041666666666666664,11,0.09166666666666666,66,0.55,3749520,4.319294736392925,277993,0.07414095670912543,157971,0.04213099276707419,237005,0.0632094241396232,492423,0.13132961019010433,2584128,0.6891890161940728
B00004Z0IX,120,3.0416666666666665,35,0.2916666666666667,11,0.09166666666666666,22,0.18333333333333332,18,0.15,34,0.2833333333333333,3749520,4.319315005654057,277982,0.07413802300027737,157974,0.042131792869487296,236988,0.06320489022594893,492416,0.13132774328447375,2584160,0.6891975506198127
B000050AV3,120,4.35,2,0.016666666666666666,5,0.041666666666666664,13,0.10833333333333334,29,0.24166666666666667,71,0.5916666666666667,3749520,4.319273133627771,278015,0.07414682412682157,157980,0.04213339307431351,236997,0.06320729053318824,492405,0.13132480957562567,2584123,0.689187682690051
B000050FB5,120,4.15,7,0.058333333333333334,6,0.05,8,0.06666666666666667,40,0.3333333333333333,59,0.49166666666666664,3749520,4.319279534447076,278010,0.07414549062279972,157979,0.04213312637350914,237002,0.0632086240372101,492394,0.13132187586677763,2584135,0.6891908830997034
B000050H5N,120,3.825,20,0.16666666666666666,6,0.05,9,0.075,25,0.20833333333333334,60,0.5,3749520,4.319289935778446,277997,0.07414202351234292,157979,0.04213312637350914,237001,0.06320835733640573,492409,0.13132587637884316,2584134,0.6891906163988991
B000050HDN,120,4.6,3,0.025,1,0.008333333333333333,5,0.041666666666666664,23,0.19166666666666668,88,0.7333333333333333,3749520,4.31926513260364,278014,0.0741465574260172,157984,0.04213445987753099,237005,0.0632094241396232,492411,0.1313264097804519,2584106,0.6891831487763768
B000056HL5,120,3.1666666666666665,33,0.275,18,0.15,9,0.075,16,0.13333333333333333,44,0.36666666666666664,3749520,4.319311005141992,277984,0.0741385564018861,157967,0.04212992596385671,237001,0.06320835733640573,492418,0.1313282766860825,2584150,0.689194883611769
B00005AWCA,120,4.758333333333334,2,0.016666666666666666,2,0.016666666666666666,1,0.008333333333333333,13,0.10833333333333334,102,0.85,3749520,4.319260065288357,278015,0.07414682412682157,157983,0.04213419317672662,237009,0.06321049094284069,492421,0.1313290767884956,2584092,0.6891794149651156
B00005CDPH,120,4.241666666666666,9,0.075,6,0.05,8,0.06666666666666667,21,0.175,76,0.6333333333333333,3749520,4.3192766007382275,278008,0.07414495722119098,157979,0.04213312637350914,237002,0.0632086240372101,492413,0.13132694318206065,2584118,0.6891863491860292
B00005CDPZ,120,4.608333333333333,2,0.016666666666666666,2,0.016666666666666666,6,0.05,21,0.175,89,0.7416666666666667,3749520,4.319264865902835,278015,0.07414682412682157,157983,0.04213419317672662,237004,0.06320915743881883,492413,0.13132694318206065,2584105,0.6891828820755723
B00005IBXJ,120,4.65,1,0.008333333333333333,1,0.008333333333333333,7,0.058333333333333334,21,0.175,90,0.75,3749520,4.319263532398813,278016,0.07414709082762594,157984,0.04213445987753099,237003,0.06320889073801447,492413,0.13132694318206065,2584104,0.689182615374768
B00005IBXK,120,4.225,12,0.1,4,0.03333333333333333,6,0.05,21,0.175,77,0.6416666666666667,3749520,4.319277134139837,278005,0.07414415711877786,157981,0.04213365977511788,237004,0.06320915743881883,492413,0.13132694318206065,2584117,0.6891860824852247
B00005K8PA,120,3.4916666666666667,21,0.175,10,0.08333333333333333,17,0.14166666666666666,33,0.275,39,0.325,3749520,4.319300603810621,277996,0.07414175681153855,157975,0.04213205957029166,236993,0.06320622372997077,492401,0.13132374277240821,2584155,0.6891962171157908
B00005KB37,120,4.066666666666666,17,0.14166666666666666,5,0.041666666666666664,2,0.016666666666666666,25,0.20833333333333334,71,0.5916666666666667,3749520,4.3192822014551195,278000,0.07414282361475602,157980,0.04213339307431351,237008,0.06321022424203632,492409,0.13132587637884316,2584123,0.689187682690051
B00005MF97,120,4.65,3,0.025,2,0.016666666666666666,3,0.025,18,0.15,94,0.7833333333333333,3749520,4.319263532398813,278014,0.0741465574260172,157983,0.04213419317672662,237007,0.06320995754123195,492416,0.13132774328447375,2584100,0.6891815485715505
B00005MF9C,120,3.8833333333333333,12,0.1,9,0.075,14,0.11666666666666667,31,0.25833333333333336,54,0.45,3749520,4.319288068872816,278005,0.07414415711877786,157976,0.04213232627109603,236996,0.06320702383238389,492403,0.13132427617401693,2584140,0.6891922166037253
B00005MGK8,120,2.95,42,0.35,13,0.10833333333333334,9,0.075,21,0.175,35,0.2916666666666667,3749520,4.3193179393629055,277975,0.07413615609464679,157972,0.04213125946787855,237001,0.06320835733640573,492413,0.13132694318206065,2584159,0.6891972839190083
B00005NCWV,120,3.0,43,0.35833333333333334,13,0.10833333333333334,9,0.075,11,0.09166666666666666,44,0.36666666666666664,3749520,4.319316339158079,277974,0.07413588939384241,157972,0.04213125946787855,237001,0.06320835733640573,492423,0.13132961019010433,2584150,0.689194883611769
B00005OTXK,120,3.7333333333333334,23,0.19166666666666668,5,0.041666666666666664,12,0.1,21,0.175,59,0.49166666666666664,3749520,4.3192928694872945,277994,0.0741412234099298,157980,0.04213339307431351,236998,0.06320755723399261,492413,0.13132694318206065,2584135,0.6891908830997034
B00005OTXU,120,4.625,2,0.016666666666666666,0,0.0,9,0.075,19,0.15833333333333333,90,0.75,3749520,4.319264332501227,278015,0.07414682412682157,157985,0.04213472657833536,237001,0.06320835733640573,492415,0.1313274765836694,2584104,0.689182615374768
B00005OTXY,120,4.4,5,0.041666666666666664,6,0.05,7,0.058333333333333334,20,0.16666666666666666,82,0.6833333333333333,3749520,4.319271533422945,278012,0.07414602402440845,157979,0.04213312637350914,237003,0.06320889073801447,492414,0.131327209882865,2584112,0.689184748981203
B00005Q4OD,120,2.725,53,0.44166666666666665,12,0.1,4,0.03333333333333333,17,0.14166666666666666,34,0.2833333333333333,3749520,4.319325140284623,277964,0.07413322238579871,157973,0.042131526168682924,237006,0.06320969084042757,492417,0.1313280099852781,2584160,0.6891975506198127
B00005Q5K4,120,3.3,29,0.24166666666666667,17,0.14166666666666666,8,0.06666666666666667,21,0.175,45,0.375,3749520,4.3193067379291215,277988,0.07413962320510359,157968,0.04213019266466108,237002,0.0632086240372101,492413,0.13132694318206065,2584149,0.6891946169109646
B00005QB5U,120,4.366666666666666,10,0.08333333333333333,2,0.016666666666666666,7,0.058333333333333334,16,0.13333333333333333,85,0.7083333333333334,3749520,4.319272600226162,278007,0.07414469052038661,157983,0.04213419317672662,237003,0.06320889073801447,492418,0.1313282766860825,2584109,0.6891839488787899
B00005QFL0,120,4.516666666666667,6,0.05,3,0.025,4,0.03333333333333333,17,0.14166666666666666,90,0.75,3749520,4.3192677996116835,278011,0.0741457573236041,157982,0.04213392647592225,237006,0.06320969084042757,492417,0.1313280099852781,2584104,0.689182615374768
B00005U5A7,120,3.775,14,0.11666666666666667,11,0.09166666666666666,19,0.15833333333333333,20,0.16666666666666666,56,0.4666666666666667,3749520,4.319291535983273,278003,0.07414362371716914,157974,0.042131792869487296,236991,0.06320569032836203,492414,0.131327209882865,2584138,0.6891916832021165
B00005UP2Q,120,4.775,1,0.008333333333333333,1,0.008333333333333333,3,0.025,14,0.11666666666666667,101,0.8416666666666667,3749520,4.319259531886749,278016,0.07414709082762594,157984,0.04213445987753099,237007,0.06320995754123195,492420,0.13132881008769123,2584093,0.6891796816659199
B00005YXC0,120,4.55,2,0.016666666666666666,4,0.03333333333333333,7,0.058333333333333334,20,0.16666666666666666,87,0.725,3749520,4.319266732808466,278015,0.07414682412682157,157981,0.04213365977511788,237003,0.06320889073801447,492414,0.131327209882865,2584107,0.6891834154771811
B0000639WN,120,4.108333333333333,10,0.08333333333333333,7,0.058333333333333334,12,0.1,22,0.18333333333333332,69,0.575,3749520,4.319280867951098,278007,0.07414469052038661,157978,0.042132859672704775,236998,0.06320755723399261,492412,0.13132667648125626,2584125,0.6891882160916597
B000063SI0,120,4.741666666666666,1,0.008333333333333333,1,0.008333333333333333,7,0.058333333333333334,10,0.08333333333333333,101,0.8416666666666667,3749520,4.319260598689966,278016,0.07414709082762594,157984,0.04213445987753099,237003,0.06320889073801447,492424,0.1313298768909087,2584093,0.6891796816659199
B000063UZS,120,4.158333333333333,6,0.05,8,0.06666666666666667,8,0.06666666666666667,37,0.30833333333333335,61,0.5083333333333333,3749520,4.319279267746271,278011,0.0741457573236041,157977,0.042132592971900404,237002,0.0632086240372101,492397,0.13132267596919073,2584133,0.6891903496980947
B000063Y8F,120,4.541666666666667,3,0.025,5,0.041666666666666664,9,0.075,10,0.08333333333333333,93,0.775,3749520,4.319266999509271,278014,0.0741465574260172,157980,0.04213339307431351,237001,0.06320835733640573,492424,0.1313298768909087,2584101,0.6891818152723549
B000065DK8,120,3.9583333333333335,12,0.1,5,0.041666666666666664,13,0.10833333333333334,36,0.3,54,0.45,3749520,4.319285668565576,278005,0.07414415711877786,157980,0.04213339307431351,236997,0.06320729053318824,492398,0.13132294266999509,2584140,0.6891922166037253
B000066RUK,120,4.8,0,0.0,1,0.008333333333333333,4,0.03333333333333333,13,0.10833333333333334,102,0.85,3749520,4.319258731784335,278017,0.07414735752843031,157984,0.04213445987753099,237006,0.06320969084042757,492421,0.1313290767884956,2584092,0.6891794149651156
B000067SRA,120,4.0,11,0.09166666666666666,9,0.075,16,0.13333333333333333,17,0.14166666666666666,67,0.5583333333333333,3749520,4.319284335061554,278006,0.07414442381958224,157976,0.04213232627109603,236994,0.06320649043077514,492417,0.1313280099852781,2584127,0.6891887494932685
B00006ADVC,120,3.825,16,0.13333333333333333,7,0.058333333333333334,14,0.11666666666666667,28,0.23333333333333334,55,0.4583333333333333,3749520,4.319289935778446,278001,0.07414309031556039,157978,0.042132859672704775,236996,0.06320702383238389,492406,0.13132507627643006,2584139,0.6891919499029209
B00006CJLM,120,4.391666666666667,5,0.041666666666666664,3,0.025,7,0.058333333333333334,30,0.25,75,0.625,3749520,4.319271800123749,278012,0.07414602402440845,157982,0.04213392647592225,237003,0.06320889073801447,492404,0.13132454287482132,2584119,0.6891866158868335
B00006F2ME,120,4.066666666666666,19,0.15833333333333333,1,0.008333333333333333,5,0.041666666666666664,23,0.19166666666666668,72,0.6,3749520,4.3192822014551195,277998,0.07414229021314728,157984,0.04213445987753099,237005,0.0632094241396232,492411,0.1313264097804519,2584122,0.6891874159892466
B00006F2MI,120,2.8583333333333334,30,0.25,30,0.25,11,0.09166666666666666,25,0.20833333333333334,24,0.2,3749520,4.319320873071753,277987,0.07413935650429922,157955,0.04212672555420427,236999,0.06320782393479699,492409,0.13132587637884316,2584170,0.6892002176278563
B00006IBAX,120,3.716666666666667,18,0.15,10,0.08333333333333333,12,0.1,28,0.23333333333333334,52,0.43333333333333335,3749520,4.319293402888903,277999,0.07414255691395165,157975,0.04213205957029166,236998,0.06320755723399261,492406,0.13132507627643006,2584142,0.689192750005334
B00006IBB3,120,3.5416666666666665,20,0.16666666666666666,10,0.08333333333333333,17,0.14166666666666666,31,0.25833333333333336,42,0.35,3749520,4.319299003605795,277997,0.07414202351234292,157975,0.04213205957029166,236993,0.06320622372997077,492403,0.13132427617401693,2584152,0.6891954170133777
